years,renewable.CleanEnergySimpleTechno,fossil.FossilSimpleTechno,carbon_capture.direct_air_capture.DirectAirCaptureTechno,carbon_capture.flue_gas_capture.FlueGasTechno,carbon_storage.CarbonStorageTechno
2020,92.92443639331881,583.9612715226564,1e-06,1050.461183699586,832.9734077873387
2021,89.41786907436192,555.0923267723591,0.8387179862825274,1035.6494300132492,837.0113081808146
2022,94.62256609203133,527.9976884831989,3.258027402721027,1021.899456553668,840.2246193110244
2023,107.66391446005449,502.80332298390886,7.112666935701877,1009.1567433482186,842.6736963032738
2024,127.66730119215877,479.6351966032225,12.257374271611447,997.3667704242768,844.4188942828687
2025,153.75811330207165,458.61927566987316,18.546887096836123,986.4750178092182,845.5205683751147
2026,185.06173780352057,439.8815265125941,25.835943097762275,976.4269655304194,846.0390737053181
2027,220.7035617102328,423.5479154601188,33.97927996077627,967.1680936152559,846.0347653987839
2028,259.808972035936,409.7444088411806,42.8316353722645,958.6438820911037,845.5679985808185
2029,301.50335579435733,398.5969729845127,52.247747018613325,950.7998109853387,844.6991283767277
2030,344.9120999992246,390.2315742188488,62.082352586209154,943.581360325337,843.4885099118172
2031,389.16059166426487,384.77417887292194,72.19018976143832,936.9340101384745,841.9964983113928
2032,433.37421780320574,382.35075327546565,82.42599623068725,930.8032404521272,840.2834487007603
2033,476.67836542977454,383.08726375521326,92.64450968034224,925.1345312936708,838.4097162052257
2034,518.1984215576988,387.1096766408981,102.70046779678974,919.8733626904814,836.4356559500944
2035,557.0597732007056,394.54395826125347,112.44860826641607,914.965214669935,834.4216230606725
2036,592.3878073725231,405.5160749450129,121.74366877560769,910.3555672594075,832.4279726622658
2037,623.470434722593,420.0346123667815,130.49977907345271,905.9968232250496,830.5041941224564
2038,650.2456604432174,437.6386335846513,138.8686371598466,901.869076288111,828.6563137779306
2039,672.8140133624139,457.74982100258677,147.06133309738672,897.959342908617,826.8794922076523
2040,691.2760223081985,479.7898570245516,155.28895694867023,894.2546395465913,825.1688899905836
2041,705.7322161085891,503.18042405451024,163.76259877629448,890.7419826620592,823.5196677056878
2042,716.2831235916022,527.3432044964264,172.6933486428567,887.4083887150451,821.926985931928
2043,723.0292735852549,551.6998807542644,182.29229661095422,884.2408741655737,820.3860052482671
2044,726.0711949175643,575.6721352319882,192.7705327431843,881.2264554736697,818.891886233668
2045,725.5094164165471,598.6816503335618,204.33914710214415,878.3521490993576,817.4397894670939
2046,721.4444669102206,620.1501084629496,217.20922975043118,875.6049715026621,816.0248755275076
2047,713.9768752266017,639.4991920241155,231.5918707506426,872.9719391436081,814.6423049938722
2048,703.2071701937074,656.1505834210234,247.69816016537567,870.44006848222,813.2872384451506
2049,689.2358806395545,669.5259650576374,265.7391880572277,867.9963759785223,811.9548364603057
2050,672.1635353921602,679.0470193379217,285.92604448879587,865.62787809254,810.6402596183008
2051,652.0906632795414,684.1354286658404,308.46981952267754,863.3215912842974,809.3386684980985
2052,629.117793129715,684.2128754453572,333.58160322147,861.0645320138193,808.0452236786618
2053,603.4164730911231,678.910547626903,361.3366407904715,858.8445433828166,806.7246306824317
2054,575.4423285939068,668.6976553467726,391.2667980057835,856.6527750597454,805.2197748057583
2055,545.7220043886329,654.2529142877273,422.76809578620856,854.4812033547475,803.34308628847
2056,514.7821452258672,636.2550401325287,455.2365550505495,852.3218045779655,800.9069953703948
2057,483.1493958561765,615.3827485639381,488.0681967176087,850.1665550395412,797.7239322913612
2058,451.3504010301269,592.3147552647167,520.6590417061888,848.0074310496171,793.6063272911966
2059,419.91180549828476,567.7297759176263,552.4051109350925,845.8364089183355,788.3666106097301
2060,389.36025401121645,542.3065262054276,582.7024253231218,843.6454649558378,781.8172124867892
2061,360.22239131948817,516.7237218108827,610.9470057890802,841.426575472267,773.7705631622022
2062,333.0248621736664,491.6600784167525,636.5348732517693,839.1717167777651,764.0390928757975
2063,308.29431132431756,467.79431170579863,658.8620486299922,836.8728651824742,752.4352318674026
2064,286.5573835220076,445.8051373607824,677.3245528425516,834.5219969965366,738.7714103768465
2065,268.34072351730316,426.37127106446496,691.3184068082496,832.1110885300941,722.8600586439567
2066,254.17097606077044,410.1714284996078,700.2396314458889,829.6321160932891,704.5136069085613
2067,244.57478590297598,397.88432534897265,703.4842476742725,827.0770559962642,683.5444854104893
2068,240.0787977944858,390.1886772953204,700.4482764122023,824.437884549161,659.7651243895676
2069,241.03807917186663,387.5711736547565,690.7413252765382,821.6904367085789,633.0824933339538
2070,247.12138821568567,389.75039827676085,674.8273486763658,818.745982016944,603.7817187251168
2071,257.8259057925106,396.2529086441574,653.383887718828,815.4996486631395,572.2424662928541
2072,272.6488127689086,406.6052622397699,627.0884835110679,811.8465648360489,538.8444017669644
2073,291.08729001144764,420.33401654642245,596.6186771602281,807.6818587245552,503.96719087724483
2074,312.63851838669467,436.96572904693846,562.6520097734515,802.9006585175416,467.99049935349353
2075,336.79967876121754,456.02695722414217,525.8660224578808,797.3980924038912,431.293992925508
2076,363.06795200158376,477.0442585608572,486.93825632065864,791.0692885724874,394.25733732308606
2077,390.94051897436066,499.54419053990745,446.5462524689285,783.8093752122132,357.260198276026
2078,419.914560546116,523.053310644117,405.36755200983225,775.5134805119519,320.6822415141249
2079,449.4872575834168,547.0981763563091,364.0796960505137,766.0767326605869,284.9031327671813
2080,479.155790952831,571.2053451593082,323.36022569811513,755.3942598470012,250.30253776499273
2081,508.4173415209262,594.9013745359381,283.886682059779,743.3611902600779,217.26012223735657
2082,536.7690901542692,617.712821969022,246.3366062426489,729.8726520887002,186.1555519140712
2083,563.7082177194284,639.1662449413845,211.3875393538669,714.8237735217515,157.368492524934
2084,588.7319050829707,658.7882009358491,179.71702250057655,698.109682748115,131.2786097997432
2085,611.381998628885,676.1764178096839,151.844683692104,679.6257731347666,108.17554178879709
2086,631.3790068108451,691.2133049179338,127.65849854651083,659.2684987610528,87.98881582439668
2087,648.4881035999465,703.8524419900876,106.88852958404306,636.9345788844141,70.55793155934441
2088,662.4744629672839,714.0474087556348,89.26483932494588,612.5207327622895,55.72238864644185
2089,673.1032588839524,721.7517849440643,74.51749028946504,585.9236796521192,43.32168673849122
2090,680.1396653210476,726.9191502848648,62.37654499784601,557.0401388113426,33.195325488294365
2091,683.3488562496641,729.5030845075255,52.572065970334194,525.7668294973988,25.182804548653145
2092,682.4960056408972,729.4571673415359,44.834115727175366,492.0004709677286,19.123623572369713
2093,677.3462874658421,726.7349785163847,38.89275678861492,455.6377824797707,14.857282212245902
2094,667.6648756955939,721.2900977615609,34.478051674898495,416.5754832909656,12.223280121083748
2095,653.216944301248,713.0761048065538,31.320062906271577,374.7102926587526,11.061116951685161
2096,633.7676672538986,702.0465793808519,29.148853002979692,329.938929840571,11.210292356852118
2097,609.082218524642,688.155101213945,27.694484485268436,282.1581140938613,12.510305989386566
2098,578.9257720845725,671.355250035322,26.68701987338332,231.26456467606226,14.800657502090496
2099,543.0635019047857,651.6006055744716,25.85652168756989,177.15500084461448,17.92084654776582
2100,501.2605819563766,628.8447475608831,24.933052448073706,119.72614185695726,21.71037277921452
