years,CO2_tax_efficiency
2020,30.0
2021,30.0
2022,30.0
2023,30.0
2024,30.0
2025,30.0
2026,30.0
2027,30.0
2028,30.0
2029,30.0
2030,30.0
2031,30.0
2032,30.0
2033,30.0
2034,30.0
2035,30.0
2036,30.0
2037,30.0
2038,30.0
2039,30.0
2040,30.0
2041,30.0
2042,30.0
2043,30.0
2044,30.0
2045,30.0
2046,30.0
2047,30.0
2048,30.0
2049,30.0
2050,30.0
2051,30.0
2052,30.0
2053,30.0
2054,30.0
2055,30.0
2056,30.0
2057,30.0
2058,30.0
2059,30.0
2060,30.0
2061,30.0
2062,30.0
2063,30.0
2064,30.0
2065,30.0
2066,30.0
2067,30.0
2068,30.0
2069,30.0
2070,30.0
2071,30.0
2072,30.0
2073,30.0
2074,30.0
2075,30.0
2076,30.0
2077,30.0
2078,30.0
2079,30.0
2080,30.0
2081,30.0
2082,30.0
2083,30.0
2084,30.0
2085,30.0
2086,30.0
2087,30.0
2088,30.0
2089,30.0
2090,30.0
2091,30.0
2092,30.0
2093,30.0
2094,30.0
2095,30.0
2096,30.0
2097,30.0
2098,30.0
2099,30.0
2100,30.0
