years,CO2_tax
2020,122.09463767867506
2021,105.62273138842893
2022,107.39616141937476
2023,133.32204606803305
2024,142.9084986046308
2025,139.52632013872753
2026,135.500367329443
2027,132.53989742674912
2028,128.82134281119733
2029,124.40789441604569
2030,117.68721746167932
2031,117.38007923553413
2032,115.55073026402137
2033,114.38347020753231
2034,113.85554875571171
2035,113.01487923802775
2036,112.21194793111009
2037,112.34910572901909
2038,113.798886628574
2039,115.11917001984888
2040,119.14167738986205
2041,123.68693995214849
2042,128.17490147751386
2043,134.86022908042025
2044,140.6057032933673
2045,142.65487759365604
2046,144.79891530322448
2047,153.61983395002812
2048,163.68868175795905
2049,166.77264103712173
2050,172.9280323378254
2051,174.24928438485148
2052,175.22649912120937
2053,182.21995889103275
2054,187.89047159606784
2055,186.67801611230414
2056,189.34135627749532
2057,192.60948751302053
2058,188.377876003396
2059,184.08934825961123
2060,180.91174593506256
2061,177.6647701061372
2062,178.70350566961133
2063,176.0516751034873
2064,172.6193612134923
2065,169.25191191130708
2066,166.01955098142793
2067,162.8729535706245
2068,159.9067916739133
2069,157.1127851533894
2070,154.55969897022635
2071,152.1860382978203
2072,150.05513330315014
2073,148.26681868424944
2074,146.73374812563858
2075,145.43191198264932
2076,144.2062211025523
2077,143.18144107994686
2078,142.3446317966597
2079,141.63189354144563
2080,140.9901880789094
2081,140.3745400755869
2082,139.71380552569133
2083,138.89864054758144
2084,137.89820628395523
2085,136.66805075563252
2086,135.1910152959993
2087,133.44816567449786
2088,131.47287083800498
2089,129.33471480539404
2090,127.12417344969882
2091,125.40044703074143
2092,124.87748516630441
2093,126.22204418417677
2094,128.3752456176374
2095,130.5646961580431
2096,132.785597131774
2097,135.0148896646848
2098,137.2257672993676
2099,139.3919775876906
2100,141.9614968773562
