years,invest
2020,8.048066567378351
2021,6.649903177940116
2022,5.463846140890607
2023,4.475508271477291
2024,3.670502384947636
2025,3.0344412965491108
2026,2.552937821529184
2027,2.2116047751353234
2028,1.9960549726149976
2029,1.8919012292156743
2030,1.8847563601848234
2031,1.9602331807699116
2032,2.103944506218408
2033,2.3015031517777804
2034,2.538521932695497
2035,2.8006136642190267
2036,3.073391161595838
2037,3.3444581800983855
2038,3.609382235099065
2039,3.865721781995268
2040,4.1110352761843725
2041,4.342881173063766
2042,4.558817928030837
2043,4.756403996482965
2044,4.93319783381754
2045,5.086757895431942
2046,5.2146426367235605
2047,5.314410513089779
2048,5.3836199799279845
2049,5.4198294926355555
2050,5.420597506609885
2051,5.383482477248352
2052,5.3060428599483425
2053,5.187085273087996
2054,5.030408986968451
2055,4.8410614348715955
2056,4.62409005007932
2057,4.384542265873518
2058,4.127465515536075
2059,3.8579072323488863
2060,3.580914849593839
2061,3.3015358005528235
2062,3.0248175185077333
2063,2.7558074367404557
2064,2.4995529885328818
2065,2.2611016071669017
2066,2.0455007259244056
2067,1.8577977780872856
2068,1.7030401969374291
2069,1.5849246563502453
2070,1.5017447925751979
2071,1.4504434824552686
2072,1.4279636028334395
2073,1.4312480305526925
2074,1.457239642456008
2075,1.5028813153863676
2076,1.565115926186754
2077,1.6408863517001475
2078,1.7271354687695304
2079,1.820806154237883
2080,1.9188412849481882
2081,2.0181837377434273
2082,2.1157763894665798
2083,2.2085621169606307
2084,2.2934837970685584
2085,2.3761013776227817
2086,2.49644309041346
2087,2.703154238220189
2088,3.044880123822569
2089,3.570266050000188
2090,4.327957319532644
2091,5.366599235199544
2092,6.734837099780465
2093,8.481316216055028
2094,10.654681886802797
2095,13.303579414803384
2096,16.476654102836406
2097,20.222551253681413
2098,24.589916170118073
2099,29.627394154925877
2100,35.38363051088449
