years,transport
2020,11.0
2021,11.0
2022,11.0
2023,11.0
2024,11.0
2025,11.0
2026,11.0
2027,11.0
2028,11.0
2029,11.0
2030,11.0
2031,11.0
2032,11.0
2033,11.0
2034,11.0
2035,11.0
2036,11.0
2037,11.0
2038,11.0
2039,11.0
2040,11.0
2041,11.0
2042,11.0
2043,11.0
2044,11.0
2045,11.0
2046,11.0
2047,11.0
2048,11.0
2049,11.0
2050,11.0
2051,11.0
2052,11.0
2053,11.0
2054,11.0
2055,11.0
2056,11.0
2057,11.0
2058,11.0
2059,11.0
2060,11.0
2061,11.0
2062,11.0
2063,11.0
2064,11.0
2065,11.0
2066,11.0
2067,11.0
2068,11.0
2069,11.0
2070,11.0
2071,11.0
2072,11.0
2073,11.0
2074,11.0
2075,11.0
2076,11.0
2077,11.0
2078,11.0
2079,11.0
2080,11.0
2081,11.0
2082,11.0
2083,11.0
2084,11.0
2085,11.0
2086,11.0
2087,11.0
2088,11.0
2089,11.0
2090,11.0
2091,11.0
2092,11.0
2093,11.0
2094,11.0
2095,11.0
2096,11.0
2097,11.0
2098,11.0
2099,11.0
2100,11.0
