years,methane,hydrogen.gaseous_hydrogen,biogas,syngas,fuel.liquid_fuel,fuel.hydrotreated_oil_fuel,solid_fuel,biomass_dry,electricity,fuel.biodiesel,hydrogen.liquid_hydrogen,carbon_capture,carbon_storage
2020,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.18286973839198153,100.0
2021,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.7512614251199623,100.0
2022,100.0,87.16705531771409,46.15925059611475,100.0,100.0,100.0,100.0,67.31047105968435,100.0,100.0,100.0,3.5162616988102573,100.0
2023,100.0,65.83819817749705,26.339272851431645,100.0,100.0,100.0,100.0,50.92140813453378,100.0,100.0,100.0,3.9805212165359425,100.0
2024,91.55489372442229,53.604095580371805,18.71392396718136,100.0,100.0,100.0,100.0,40.981869993332026,100.0,100.0,100.0,4.181794505653744,100.0
2025,73.19923052281867,46.47732076216683,14.75152833414165,100.0,100.0,100.0,100.0,34.48700494247839,100.0,100.0,100.0,4.236810785957725,100.0
2026,60.658314091347286,41.59337568102446,12.276118461150629,100.0,100.0,100.0,100.0,29.984928256775046,100.0,100.0,100.0,4.2570217103547625,100.0
2027,52.86831657431791,37.677587690381955,10.79102436048821,100.0,100.0,100.0,100.0,26.735906641646455,100.0,100.0,100.0,4.266115470394624,100.0
2028,45.95342743988875,35.56499333943974,9.744824764771193,100.0,100.0,100.0,100.0,24.297173284961517,100.0,100.0,100.0,4.259315818787667,100.0
2029,39.50757348329013,34.263439964870756,9.206657217865391,100.0,100.0,100.0,100.0,22.40852629095602,100.0,100.0,100.0,4.243443653112259,100.0
2030,31.23938138014905,31.11047360159666,8.97161824114789,100.0,100.0,100.0,100.0,20.905160961721062,100.0,100.0,100.0,4.211720224551177,100.0
2031,30.169422220402137,29.58837427225256,9.20570645608448,100.0,100.0,100.0,100.0,19.680784741229544,100.0,100.0,100.0,4.21785125822647,100.0
2032,27.570757835575016,29.039504332915612,9.434304362137578,100.0,100.0,100.0,100.0,18.671558453711278,100.0,100.0,100.0,4.139840989449658,100.0
2033,24.987796800051306,27.752607367562014,9.929456946086908,100.0,100.0,100.0,100.0,17.815345681935188,100.0,100.0,100.0,3.8698304866246542,100.0
2034,23.523580474239527,27.588638311972552,10.312654879928756,100.0,100.0,100.0,100.0,17.076669738384943,100.0,100.0,100.0,3.6795095298763227,100.0
2035,22.06822653095884,28.082909667675192,11.304510809114204,100.0,100.0,100.0,100.0,16.43184760270123,100.0,100.0,100.0,3.5113758625259504,100.0
2036,20.828898620167145,28.87623373399975,12.499231049679397,100.0,100.0,100.0,100.0,15.85423176349817,100.0,100.0,100.0,3.3609121649703337,100.0
2037,20.561732131705032,30.11895307203318,13.714808453367668,100.0,100.0,100.0,100.0,15.34831596098551,100.0,100.0,100.0,3.256523328095161,100.0
2038,21.16643484654563,31.56692334695394,15.115498628846936,100.0,100.0,100.0,97.05452974383192,14.893472040807493,100.0,100.0,100.0,3.122095178490437,100.0
2039,21.266135201028458,34.31600524446251,16.672255432507164,100.0,100.0,100.0,89.0379151343114,14.485178087896431,100.0,100.0,100.0,2.8989767703733205,100.0
2040,22.002473632531903,35.45864752022516,18.942287877211434,92.05917885518514,100.0,100.0,74.67750922797214,14.119703097352144,100.0,100.0,100.0,2.5763389329664226,100.0
2041,22.886684769635,35.33277213199871,21.329286436876224,81.0570523544471,100.0,100.0,62.98290668498354,13.793890323616495,100.0,100.0,100.0,2.3369041483235793,100.0
2042,22.741807610174895,33.7283514856369,25.84320183263665,70.84671229493625,100.0,100.0,51.34727863973097,13.503790398233706,100.0,100.0,100.0,2.059567691893417,100.0
2043,24.745951222461947,33.872215739396374,31.01857558087408,64.27049335258334,100.0,100.0,43.13589185428273,13.249187169107229,100.0,100.0,100.0,1.943061087254867,100.0
2044,25.648103892224793,33.67942410045339,36.87900483261602,56.958833805210574,100.0,100.0,36.48604051138839,13.02694762273046,100.0,100.0,100.0,1.7993737887052996,100.0
2045,26.556675195288122,35.953692153080716,43.42716604264896,54.315315548922314,100.0,100.0,35.360123976121194,12.853136379832403,100.0,100.0,100.0,1.789316063446877,100.0
2046,28.43685848987741,39.28580204377298,50.65221824986522,53.35848002422813,100.0,100.0,36.19460979288361,12.70813946643819,100.0,100.0,100.0,1.856967849794739,100.0
2047,30.69658633599627,38.67725412502211,58.528273783845606,46.55278376114427,100.0,100.0,28.59552352511978,12.885235403976871,100.0,100.0,100.0,1.7546538577857453,100.0
2048,32.795116364167356,38.44258493834103,67.01324341974309,41.07383894381583,100.0,100.0,22.15134517998718,12.829534248009686,100.0,100.0,100.0,1.6839354137850704,100.0
2049,34.776960987209314,41.04774495675099,76.05242954730392,39.42547101493379,100.0,100.0,22.09252197284297,12.791002357729134,100.0,100.0,100.0,1.7413609600084028,100.0
2050,36.45923191440184,42.56995186881854,85.58283650128422,36.743627188123426,100.0,100.0,19.734319925041817,12.767642166419604,100.0,100.0,100.0,1.7500612426226598,100.0
2051,38.26393284074924,45.43147046935586,95.53948048296633,35.531696944557126,100.0,100.0,20.22048569703815,12.7571159339329,100.0,100.0,100.0,1.8083706015908652,100.0
2052,40.47159807880145,48.31894727382582,100.0,34.397441316587994,100.0,100.0,20.712141612876792,12.757110549621576,100.0,100.0,100.0,1.8442797946492242,100.0
2053,42.07596691213064,52.1692630242339,100.0,33.66109117089673,100.0,100.0,20.564186051916682,12.765254254189426,100.0,100.0,100.0,1.8591028222020463,100.0
2054,43.461933010853706,54.739516504407185,100.0,32.067126709984485,100.0,100.0,18.086681332838335,12.779176709987231,100.0,100.0,100.0,1.8275698766806558,100.0
2055,44.59894996861309,58.475110167969525,100.0,31.550633821660217,100.0,100.0,18.601253397633247,12.904647502157266,100.0,100.0,100.0,1.913037628639601,100.0
2056,45.465702395495754,61.21923031415697,100.0,30.13937306495187,100.0,100.0,16.459438926042445,13.083480747648188,100.0,100.0,100.0,1.946475780245208,100.0
2057,46.049972504477296,63.4555895616155,100.0,28.61788296578483,100.0,100.0,13.83691166589881,13.30761576164726,100.0,100.0,100.0,1.9649934206555228,100.0
2058,46.50658535662641,66.9083027123164,100.0,28.043614485773826,100.0,100.0,14.347044419412516,13.570545757823876,100.0,100.0,100.0,2.0246327925486987,100.0
2059,46.68708772072907,70.07282007575806,100.0,27.42264360910357,100.0,100.0,14.87042482288443,13.86702532298775,100.0,100.0,100.0,2.079361501017551,100.0
2060,46.601027433404454,72.91592919942772,100.0,26.756077732639376,100.0,100.0,15.397668150839014,14.19255992691346,100.0,100.0,100.0,2.12916175806141,100.0
2061,46.26548271729236,75.48589560927914,100.0,26.076743477512228,100.0,100.0,16.04729441605449,14.54329495007953,100.0,100.0,100.0,2.173921374069886,100.0
2062,45.705299493981286,83.91753000342692,100.0,25.34510763372629,100.0,100.0,16.69519463698068,14.915866370887777,100.0,100.0,100.0,2.2146375231063726,100.0
2063,44.95126459084297,92.50041185936453,100.0,24.574890172547327,100.0,100.0,17.331577151260802,15.30746519314127,100.0,100.0,100.0,2.251488823320803,100.0
2064,44.03539966354973,100.0,100.0,23.769152395865756,100.0,100.0,17.946304520788942,15.71575517096415,100.0,100.0,100.0,2.2849408366531776,100.0
2065,42.98988192279051,100.0,100.0,22.931345071336096,100.0,100.0,18.528982327123096,16.13874015806656,100.0,100.0,100.0,2.315443530543276,100.0
2066,41.84601810586615,100.0,100.0,22.00647701829235,100.0,100.0,18.784449659288228,16.57493314633508,100.0,100.0,100.0,2.3439033993987666,100.0
2067,40.633682825862486,100.0,100.0,21.09477955420372,100.0,100.0,19.155226251968298,17.023389615680813,100.0,100.0,100.0,2.3699658985432603,100.0
2068,39.3809581964688,100.0,100.0,20.160364370508418,100.0,100.0,19.439507617511318,17.483814551157124,100.0,100.0,100.0,2.3944404197796407,100.0
2069,38.113960604735944,100.0,100.0,19.219309144364935,100.0,100.0,19.683900784153465,17.956642307078184,100.0,100.0,100.0,2.417779766567918,100.0
2070,36.85684292771179,100.0,100.0,18.263183252394374,100.0,100.0,19.807494447598966,18.443042056179255,100.0,100.0,100.0,2.440713883892454,100.0
2071,35.63191170031121,100.0,100.0,17.30886711727188,100.0,100.0,19.85848536735625,18.944757009868717,100.0,100.0,100.0,2.4640004292463846,100.0
2072,34.45957418271711,100.0,100.0,16.364605503607574,100.0,100.0,19.83597242531269,19.464204469060846,100.0,100.0,100.0,2.4887061303161144,100.0
2073,33.35735597029609,100.0,100.0,15.440252667886083,100.0,100.0,19.743283757313044,20.00407185265001,100.0,100.0,100.0,2.516115611308499,100.0
2074,32.340006104796906,100.0,100.0,14.546637882008609,100.0,100.0,19.585433814062096,20.567082124447584,100.0,100.0,100.0,2.5477754870679865,100.0
2075,31.4197743353069,100.0,100.0,13.695422616373573,99.12766652136354,100.0,19.36910159739441,21.156001410765104,100.0,100.0,100.0,2.5855656420464315,100.0
2076,30.606187834691013,100.0,100.0,12.89881742221491,93.01101718766851,100.0,19.102641582335615,21.773710245443773,100.0,100.0,100.0,2.631750019405752,100.0
2077,29.906291027608884,100.0,100.0,12.169376062844398,87.26911272283331,100.0,18.795924648775042,22.422948446383703,100.0,100.0,100.0,2.689064957063169,100.0
2078,29.32499648171327,100.0,100.0,11.519844321737835,81.9250435634303,100.0,18.46018780533218,23.10588206350138,100.0,100.0,100.0,2.760837859305205,100.0
2079,28.865521229948893,100.0,100.0,10.96336009245989,77.00265914132028,100.0,18.109310085169525,23.82598454881307,100.0,100.0,100.0,2.8512126340557,100.0
2080,28.53021289708576,100.0,100.0,10.513155826966832,72.52644025837274,100.0,17.758654439476125,24.586145001949443,100.0,100.0,100.0,2.9653361815255295,100.0
2081,28.32092693589206,100.0,100.0,10.182480007829326,68.52149259330082,100.0,17.425268639195142,25.38906351649691,100.0,100.0,100.0,3.109636435025077,100.0
2082,28.23917947176884,100.0,100.0,9.984439811439518,65.01358225202569,100.0,17.127092636204974,26.237526475845353,100.0,100.0,100.0,3.2921152289344198,100.0
2083,28.28625628542,100.0,100.0,9.932002851580947,62.0293372529678,100.0,16.882780267250613,27.134768899515006,100.0,100.0,100.0,3.5227530821493778,100.0
2084,28.463292442055366,100.0,100.0,10.037976502580102,59.59660463407717,100.0,16.71135827510503,28.08393450841919,100.0,100.0,100.0,3.8140095162610894,100.0
2085,28.771323354650374,100.0,100.0,10.315111432367917,57.745000940662635,100.0,16.632311347803928,29.08849995309657,100.0,100.0,100.0,4.181445064547778,100.0
2086,29.211307838774452,100.0,100.0,10.776181536031473,56.506554944288744,100.0,16.665507897284723,30.152492182166803,100.0,100.0,100.0,4.644302035891759,100.0
2087,29.784023174362297,100.0,100.0,11.432567093975262,55.91649920056556,100.0,16.831182074756658,31.281111837668895,100.0,100.0,100.0,5.225895224911136,100.0
2088,30.490265165014748,100.0,100.0,12.288308269081757,56.0125016103584,100.0,17.148644555197546,32.48108690955338,100.0,100.0,100.0,5.952931320513596,100.0
2089,31.333407905817978,100.0,100.0,13.338564629999919,56.832516751697646,100.0,17.63126210197481,33.75903711726533,100.0,100.0,100.0,6.855018588542004,100.0
2090,32.31992210915027,100.0,100.0,14.569947303962577,58.41362898399141,100.0,18.285178597157937,35.12109720875104,100.0,100.0,100.0,7.963599289636561,100.0
2091,33.459737685440395,100.0,100.0,15.950418221266457,60.594330086480184,100.0,19.111176898144308,36.584711470867056,100.0,100.0,100.0,9.122326263748587,100.0
2092,34.76652817201871,100.0,100.0,17.432404830942584,62.971433171791155,100.0,20.10168924693939,38.16403295514383,100.0,100.0,100.0,9.951119079142073,100.0
2093,36.25800078364168,100.0,100.0,19.004926444858746,65.96335834651998,100.0,21.24162185923245,39.87404365706929,100.0,100.0,100.0,10.849552630050601,100.0
2094,37.95618122806673,100.0,100.0,20.622486442848277,69.55152625749773,100.0,22.508607317748663,41.734829051592406,100.0,100.0,100.0,11.795133183152213,100.0
2095,39.88791196857654,100.0,100.0,22.23157404050084,73.70002534505758,100.0,23.872030996836283,43.767547817527614,100.0,100.0,100.0,12.7474731832311,100.0
2096,42.086099152482134,100.0,100.0,23.771167667416346,78.34892986814485,100.0,25.292785084884496,45.99577184426339,100.0,100.0,100.0,13.644918794456858,100.0
2097,44.59017861356377,100.0,100.0,25.173350029614593,83.4060674035931,100.0,26.723182253720566,48.44524593295551,100.0,100.0,100.0,14.401776493579375,100.0
2098,47.445999850038056,100.0,100.0,26.364711550751217,88.75913526219628,100.0,28.108332403648582,51.14319341520651,100.0,100.0,100.0,14.924854426303206,100.0
2099,50.705095715688444,100.0,100.0,27.259052591828194,94.28715172395137,100.0,29.368234637247088,53.83687228065849,100.0,100.0,100.0,15.129050176458128,100.0
2100,54.42296277724541,100.0,100.0,27.792912339019683,99.88445867759171,100.0,30.473132815129745,57.106095683876866,100.0,100.0,100.0,14.961370323940152,100.0
