years,transport
2020,7.6
2021,7.6
2022,7.6
2023,7.6
2024,7.6
2025,7.6
2026,7.6
2027,7.6
2028,7.6
2029,7.6
2030,7.6
2031,7.6
2032,7.6
2033,7.6
2034,7.6
2035,7.6
2036,7.6
2037,7.6
2038,7.6
2039,7.6
2040,7.6
2041,7.6
2042,7.6
2043,7.6
2044,7.6
2045,7.6
2046,7.6
2047,7.6
2048,7.6
2049,7.6
2050,7.6
2051,7.6
2052,7.6
2053,7.6
2054,7.6
2055,7.6
2056,7.6
2057,7.6
2058,7.6
2059,7.6
2060,7.6
2061,7.6
2062,7.6
2063,7.6
2064,7.6
2065,7.6
2066,7.6
2067,7.6
2068,7.6
2069,7.6
2070,7.6
2071,7.6
2072,7.6
2073,7.6
2074,7.6
2075,7.6
2076,7.6
2077,7.6
2078,7.6
2079,7.6
2080,7.6
2081,7.6
2082,7.6
2083,7.6
2084,7.6
2085,7.6
2086,7.6
2087,7.6
2088,7.6
2089,7.6
2090,7.6
2091,7.6
2092,7.6
2093,7.6
2094,7.6
2095,7.6
2096,7.6
2097,7.6
2098,7.6
2099,7.6
2100,7.6
