variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
methane.FossilGas.methane_FossilGas_array_mix,"[1.475471831553906, 0.026606197809582805, 66.2663990049736, 31.755704012824054, 7.54857699465874, 32.988140153437925, 17.635601373397755, 47.921407770174234]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
methane.UpgradingBiogas.methane_UpgradingBiogas_array_mix,"[79.98019126800178, 52.73303631610524, 1.7814603729883707, 37.59275825377029, 32.73521132478098, 24.266900198636677, 31.073036172118165, 50.04276928537637]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.PlasmaCracking.hydrogen_gaseous_hydrogen_PlasmaCracking_array_mix,"[1.4073081178734363, 0.032345691029281996, 0.009785666097337258, 1.0177401255090732, 37.03920359376068, 33.45855380884192, 0.09078636799173338, 9.523478781832916]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.WaterGasShift.hydrogen_gaseous_hydrogen_WaterGasShift_array_mix,"[2.3999901142686006, 1e-06, 0.9141288372963446, 19.49763082323134, 28.18088784140624, 38.63138259997889, 39.017257971557754, 50.18214517505513]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.Electrolysis.SOEC.hydrogen_gaseous_hydrogen_Electrolysis_SOEC_array_mix,"[7.478438443367908, 0.31713415485782387, 0.37445768836790905, 0.4104062573951139, 1.064405951107414, 32.76039176256654, 20.986701903345253, 5.250669642087696]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.Electrolysis.AWE.hydrogen_gaseous_hydrogen_Electrolysis_AWE_array_mix,"[2.259451048144528, 1e-06, 0.03383911861806382, 5.821360086555711, 3.385286312918807, 0.0907378194474129, 65.35908039128789, 0.35227555598232146]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.Electrolysis.PEM.hydrogen_gaseous_hydrogen_Electrolysis_PEM_array_mix,"[14.57517244381776, 1e-06, 0.7611106651556696, 7.391587183383655, 2.443100724767565, 9.470126699651981, 0.04878079500709937, 0.09590066900677005]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
biogas.AnaerobicDigestion.biogas_AnaerobicDigestion_array_mix,"[1e-06, 1e-06, 4.635552701142764, 9.82228195910671, 43.34705806149213, 0.05347317058985979, 46.30961180618926, 0.02363947106301918]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
syngas.BiomassGasification.syngas_BiomassGasification_array_mix,"[62.32621119968406, 54.52265769671962, 39.324732169394004, 38.637959339466725, 35.61285384842871, 30.641691518810113, 32.855198347734444, 48.57072391207981]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
syngas.SMR.syngas_SMR_array_mix,"[107.03447118901796, 46.636584689497774, 0.5647712498034817, 38.02177618617164, 34.26574915692154, 27.434048508244768, 0.0460654429809435, 7.982128383913868]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
