variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
methane.FossilGas.methane_FossilGas_array_mix,"[19.235832177098818, 1e-06, 1e-06, 0.009608963072196913, 1e-06, 1e-06, 1e-06, 3.00286175093726]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
methane.UpgradingBiogas.methane_UpgradingBiogas_array_mix,"[27.376208765419328, 38.31143964671645, 50.77788878419733, 52.05741675098364, 59.10377512679461, 10.31816954805688, 14.538669623000688, 11.725980482007655]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.PlasmaCracking.hydrogen_gaseous_hydrogen_PlasmaCracking_array_mix,"[6.9786819992867235, 27.342093346396542, 2.1086669717287836, 2.744305524120236, 54.38685654175756, 56.49052802152746, 54.01970985156794, 30.788662295727566]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.WaterGasShift.hydrogen_gaseous_hydrogen_WaterGasShift_array_mix,"[1e-06, 18.545599153283774, 43.83203023311476, 73.73511143476415, 120.03006923112314, 58.39485321133334, 51.47936061557147, 19.13722107518346]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.Electrolysis.SOEC.hydrogen_gaseous_hydrogen_Electrolysis_SOEC_array_mix,"[3.1384398946402032, 0.7918360266469162, 1.3627219673467437, 35.53155150430317, 2.0617995977422616, 4.654912204141849, 2.648956503249469, 1.7591820551195527]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.Electrolysis.AWE.hydrogen_gaseous_hydrogen_Electrolysis_AWE_array_mix,"[1.4448324900856777, 1e-06, 1e-06, 0.5621879889065822, 10.263017792945785, 1e-06, 11.779505532950006, 2.5628078691701033]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.Electrolysis.PEM.hydrogen_gaseous_hydrogen_Electrolysis_PEM_array_mix,"[20.928892617000372, 1e-06, 1e-06, 1e-06, 7.521666166475166, 34.290168588622954, 3.59220347787542, 7.776660544247852]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
biogas.AnaerobicDigestion.biogas_AnaerobicDigestion_array_mix,"[0.1671269346581989, 0.9658052223367954, 13.851833344943346, 1.7871672847248932, 0.12447489944941734, 1e-06, 0.5757174358700324, 0.6595124660819756]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
syngas.BiomassGasification.syngas_BiomassGasification_array_mix,"[33.17659485127938, 26.655105153057438, 32.78227267143111, 36.73014578966102, 36.92563565773555, 46.46728771654519, 16.38633226152523, 16.88712917047667]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
syngas.SMR.syngas_SMR_array_mix,"[53.50796946006585, 67.88374076851326, 1.7537167756254282, 23.966602081398634, 40.22026874069004, 41.173358194063674, 49.04810949924898, 39.18786360435979]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
