variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
methane.FossilGas.methane_FossilGas_array_mix,"[19.2358322, 1e-06, 1e-06, 0.00960896307, 1e-06, 1e-06, 1e-06, 3.00286175]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
methane.UpgradingBiogas.methane_UpgradingBiogas_array_mix,"[27.37620877, 38.31143965, 50.77788878, 52.05741675, 59.10377513, 10.31816955, 14.53866962, 11.72598048]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
methane.Methanation.methane_Methanation_array_mix,"[1.71442993, 0.00146438029, 0.000453339463, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.PlasmaCracking.hydrogen_gaseous_hydrogen_PlasmaCracking_array_mix,"[6.978682, 27.34209335, 2.10866697, 2.74430552, 54.38685654, 56.49052802, 54.01970985, 30.7886623]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.WaterGasShift.hydrogen_gaseous_hydrogen_WaterGasShift_array_mix,"[1e-06, 18.5455992, 43.8320302, 73.7351114, 120.030069, 58.3948532, 51.4793606, 19.1372211]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.Electrolysis.SOEC.hydrogen_gaseous_hydrogen_Electrolysis_SOEC_array_mix,"[3.13843989, 0.79183603, 1.36272197, 35.5315515, 2.0617996, 4.6549122, 2.6489565, 1.75918206]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.Electrolysis.AWE.hydrogen_gaseous_hydrogen_Electrolysis_AWE_array_mix,"[1.44483249, 1e-06, 1e-06, 0.562187989, 10.2630178, 1e-06, 11.7795055, 2.56280787]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.Electrolysis.PEM.hydrogen_gaseous_hydrogen_Electrolysis_PEM_array_mix,"[20.9288926, 1e-06, 1e-06, 1e-06, 7.52166617, 34.2901686, 3.59220348, 7.77666054]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
biogas.AnaerobicDigestion.biogas_AnaerobicDigestion_array_mix,"[0.167126935, 0.965805222, 13.8518333, 1.78716728, 0.124474899, 1e-06, 0.575717436, 0.659512466]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
syngas.BiomassGasification.syngas_BiomassGasification_array_mix,"[33.17659485, 26.65510515, 32.78227267, 36.73014579, 36.92563566, 46.46728772, 16.38633226, 16.88712917]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
syngas.SMR.syngas_SMR_array_mix,"[53.50796946, 67.88374077, 1.75371678, 23.96660208, 40.22026874, 41.17335819, 49.0481095, 39.1878636]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
syngas.Pyrolysis.syngas_Pyrolysis_array_mix,"[0.709986259, 0.821383082, 1e-06, 1e-06, 1e-06, 1e-06, 1.10544049, 1e-06]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
syngas.AutothermalReforming.syngas_AutothermalReforming_array_mix,"[101.89494873, 57.01195973, 71.33598181, 105.88552182, 163.32548627, 87.85308337, 27.83586797, 45.67763617]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
syngas.CoElectrolysis.syngas_CoElectrolysis_array_mix,"[26.06117348, 27.28790598, 32.42836543, 33.93505309, 44.49525316, 43.96384596, 26.54640827, 18.34529002]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",False,"[True, True, True, True, True, True, True, True]"
