years,gross_output,pc_consumption,output_net_of_d
2020,130.187,12.353873131832394,129.94678960407742
2021,138.15478238651463,13.01945192408193,137.88596621922036
2022,132.83737455017953,12.406676804488004,132.5656937290854
2023,123.07837490855637,11.381990312926545,122.81446997328237
2024,117.84430078821724,10.81461622095968,117.57998536410216
2025,115.18097908824492,10.504057129070896,114.9112741103287
2026,114.01892615785455,10.335620702905475,113.74068449882643
2027,114.01298071774495,10.275524920786665,113.72347659472975
2028,114.48933123056122,10.261253199281475,114.18726744406892
2029,114.92990918915959,10.245530328145676,114.61526174195073
2030,113.08682301796645,10.03174518487352,112.76596115978191
2031,114.50121752513712,10.105225044706447,114.164946771753
2032,115.30498657059503,10.126312417483742,114.95489232049131
2033,114.6314091747682,10.019132349166764,114.27198490963421
2034,116.19519856673996,10.108707018400827,115.81936848015017
2035,117.86419767421125,10.207487868234205,117.47132470014401
2036,119.27205194986367,10.284012554830761,118.86272178378711
2037,119.65000101502235,10.27517466467142,119.22759089424441
2038,121.37480458599745,10.383215343600522,120.93438161826046
2039,122.71594579773327,10.459081914944722,122.2586294540466
2040,121.87272216896355,10.352099152880356,121.4066292132555
2041,120.86314824592691,10.235256380011775,120.38913440161551
2042,118.33249809024214,9.995813024781238,117.8569265556086
2043,118.41190086585345,9.980607042548879,117.92459480603738
2044,117.4282471022231,9.879010926897227,116.93375186533096
2045,118.98913612087958,9.991813970182381,118.47677833684065
2046,121.89902324103424,10.217097638797851,121.36266324355687
2047,120.45429234047111,10.081719816214717,119.91303354045516
2048,119.33924818583512,9.977907925325137,118.79194744356649
2049,120.93976848478819,10.100944522069197,120.3740438399803
2050,121.28291075227773,10.120883506307978,120.70457763979685
2051,122.6150195557851,10.223439323052865,122.01932778296037
2052,123.95181231195838,10.327575422174917,123.33861485864455
2053,124.65677398330364,10.380815123318675,124.02912751278409
2054,124.16648703652187,10.337375558962654,123.5305035168234
2055,125.74617242444907,10.466035449929429,125.09127877047396
2056,123.311045283391,10.262858338381955,122.65833701235454
2057,120.18447321290849,10.005477586318221,119.53821627287928
2058,119.3595430817234,9.943954202264289,118.7078477786323
2059,118.4221237050712,9.875308631907101,117.76590254315647
2060,117.44117543482169,9.805136002691478,116.7809761780753
2061,116.43075548830826,9.734431407821765,115.76705121803938
2062,116.67695976601041,9.771374062443627,116.00279369772561
2063,116.83540227271654,9.80256711873907,116.15138265129764
2064,116.84647803992222,9.822902233234629,116.15357473992653
2065,115.95915217820398,9.769042686955892,115.26286845099106
2066,115.12547531325187,9.721461658104673,114.42572842590704
2067,114.377768911201,9.683233878769835,113.67426332993517
2068,113.69185650596445,9.652070617730827,112.98442503078884
2069,113.05711155628971,9.62688121360176,112.34563655342212
2070,112.39338290038914,9.600662330447129,111.67824163594565
2071,111.76086100193642,9.578431968172065,111.04204540363797
2072,111.10380619333993,9.555634772803101,110.38166052606384
2073,110.27815963383551,9.519658760287067,109.55397615619849
2074,109.3985138483255,9.480258136952669,108.67285596430524
2075,108.46320359543063,9.437154766102935,107.73665462353124
2076,107.61308569917574,9.402535884880018,106.8852861402206
2077,106.70825794773303,9.364323018910941,105.97978772705437
2078,105.71737914712638,9.319602152799503,104.98904598911683
2079,104.6948228673727,9.273047947783061,103.96707464965708
2080,103.6398900238492,9.224489338120707,102.91318790206789
2081,102.56301648124406,9.174761799713487,101.83775670180557
2082,101.45543653455736,9.123218039790636,100.73208513796784
2083,100.36311738932707,9.073881045692733,99.64181899744646
2084,99.31208782779116,9.029030405691666,98.59279966026102
2085,98.32314802683604,8.99052004030297,97.60567241839033
2086,97.38984866345842,8.95773444416825,96.67402899243008
2087,96.58819298503288,8.937904923814177,95.87330476963379
2088,95.96190801125961,8.935125196619751,95.24688405337068
2089,95.53435205938638,8.951675087786029,94.81792714661171
2090,95.31901804397279,8.988964130564232,94.59979975951458
2091,95.37772221039768,9.053033726862223,94.65382269011805
2092,95.80478173608131,9.153359992722573,95.07355318763493
2093,96.43580890564756,9.274456735345586,95.69579653822849
2094,97.23322313271582,9.412877349580498,96.48321644565863
2095,98.14689366080334,9.563897257895254,97.38603099689159
2096,99.11651238932768,9.721726099542096,98.34436909439324
2097,100.07241488000501,9.879720762701265,99.28908709946491
2098,100.9330826805343,10.029743919948755,100.13929309085938
2099,101.62485986631873,10.164352528427395,100.82191095294063
2100,102.00504109786843,10.269051725982433,101.19537475852299
