years,energy_investment
2020,32.528211680231315
2021,31.75268255987329
2022,29.944366761810752
2023,28.65024550158141
2024,27.104516968515455
2025,25.465982338419472
2026,24.301903985334192
2027,23.56328453537526
2028,22.99660670449675
2029,22.45591477227557
2030,21.259685348720094
2031,21.126554379151187
2032,20.917884161301153
2033,20.55641215448647
2034,20.757255870904054
2035,21.001323250572824
2036,21.182686190234335
2037,21.10058087696144
2038,21.384305804309466
2039,21.641356058929784
2040,21.389157878433835
2041,21.06531517118075
2042,20.370199089631363
2043,20.248791106680972
2044,19.886280207507465
2045,20.16773184143696
2046,20.763113794240116
2047,20.276381897255224
2048,19.82937824614895
2049,20.106725309174713
2050,20.053519978520125
2051,20.278305672644304
2052,20.516828028996105
2053,20.59992321832346
2054,20.369641290804324
2055,20.704242942651533
2056,20.225167575251838
2057,19.710324320589326
2058,19.57302790936744
2059,19.417334304024674
2060,19.2545648753437
2061,19.087035468297955
2062,19.12557183420824
2063,19.149773288266953
2064,19.149883593952968
2065,19.002841753702157
2066,18.864699052953064
2067,18.74075743991938
2068,18.62706059286669
2069,18.521870283145365
2070,18.412048080275998
2071,18.307445167823687
2072,18.1989214607076
2073,18.06287277292929
2074,17.918062707243802
2075,17.7642109879467
2076,17.62437920093472
2077,17.47564641698485
2078,17.3128734682926
2079,17.144958722780096
2080,16.97178131883697
2081,16.795044100040677
2082,16.613305810029676
2083,16.434087930837837
2084,16.26164682337352
2085,16.099347985843334
2086,15.94595916387611
2087,15.813719891766391
2088,15.709587190387053
2089,15.637180874037412
2090,15.598498423765696
2091,15.603430003753788
2092,15.667147972976052
2093,15.76247866512947
2094,15.882985062418118
2095,16.020169763824537
2096,16.163875754035477
2097,16.302438565062886
2098,16.422304072322486
2099,16.51126599532587
2100,16.546006392955537
