years,methane,hydrogen.gaseous_hydrogen,biogas,syngas,fuel.liquid_fuel,fuel.hydrotreated_oil_fuel,solid_fuel,biomass_dry,electricity,fuel.biodiesel,hydrogen.liquid_hydrogen,carbon_capture,carbon_storage
2020,117.3215261947206,238.97350672014952,96.75214141484734,80.97617167202326,94.67177189176002,286.85259671761116,18.623822523072693,10.833623759728493,191.9043781266833,155.28219722128517,434.52256690983097,103.11545388927293,18.979183789401944
2021,110.59881736684147,223.23777464349786,96.19306856357566,75.12715167380975,92.96414165778647,281.6574974138853,16.969588708899586,10.837374554469184,179.03937706059673,155.2226644602048,400.7362112037539,88.85334932274438,16.769382065684315
2022,105.14503341524926,230.71155480531206,96.23962779458968,75.50960138129167,92.9557754259719,281.96253745577803,17.557763228917157,10.841077234805267,180.59911973871968,155.20482552019573,400.5422048259967,91.58476470408199,15.811396715292561
2023,102.34176789737909,257.09090552588464,96.78943135915198,79.95596224569938,94.31207248794624,280.6176458741006,19.903748692645383,10.82505805080171,194.39825401769212,155.21937774021947,442.66923162081355,118.1324919201367,15.189554147896166
2024,101.8989440957096,271.7498728560337,96.8760282232897,80.32369001200806,95.60772520181855,282.7755003853375,20.74946153231233,10.762893309546861,198.1164922554159,155.21639548068987,470.2954516911911,128.10716676385485,14.801331840775736
2025,100.9350022888995,271.33307623653633,96.44128437512572,78.391499269158,95.64408759031052,281.0233738079958,20.330899791399524,10.670287162998418,190.45499027672398,155.19176442780352,471.06838601201963,124.9722059643535,14.554114174373815
2026,100.76596581851184,268.4796932870088,96.01260285714214,76.70124390214652,95.54203599362876,279.2116957600383,19.8644945237044,10.561023188785832,183.63142321503707,155.17068013774332,466.80756402963306,121.13116544840635,14.369201881036464
2027,100.6248525125509,265.3881863830849,95.60713698461902,75.27182320504964,95.47770307879652,277.62727857365184,19.503011544407357,10.442707198766373,177.93543908618372,155.15316722758274,461.5902218921326,118.31596586370212,14.223931563046811
2028,100.44729333204393,258.9579033153379,95.15458104847738,73.47370737874589,95.23989120585121,275.5370361373221,19.06932955567886,10.323360322792668,171.57891367471933,155.13498170072322,451.47940554627127,114.70932646334525,14.112016347851895
2029,100.19552219746741,249.5365135290104,94.6628135484914,71.32490671289636,94.82104802063512,272.97950206708725,18.569889826522708,10.20777804987162,164.576194607013,155.11583197655943,437.19134766318666,110.38434600684664,14.023548409198852
2030,99.719917082382,238.04819224839193,94.03853454419631,68.30871182670718,94.09354902737974,269.58593396416677,17.837034466013865,10.099008710882767,154.603168473728,155.0905186055025,417.5068172490652,103.72948966677838,13.957727794900773
2031,99.58485928139082,235.065608644319,93.7519275474159,67.60444177527108,94.24944534414055,268.7723124241221,17.76354334054421,9.998821442870112,152.45428413165112,155.08188252185874,412.990606264482,103.49910524557781,13.880973989956162
2032,99.31678775049647,229.15458270133956,93.39172757553439,66.18962453787557,94.09727372193453,267.2523455064763,17.53875355826251,9.908190212403362,148.47860626609184,155.06921526297495,404.0380827639018,101.68971874144685,13.861011522574351
2033,98.96633242073628,221.58365668787678,93.04676763294309,64.7192100715644,93.79828314889279,265.57866858377673,17.382512623536794,9.827484731554177,144.67456374635546,155.05669925709856,394.4753032463155,100.41987790293743,13.963592304594737
2034,98.71511952453386,216.131356952331,92.76862878972236,63.722811251830855,93.67698141379054,264.42258866940875,17.291080669362845,9.756648837137211,142.20081806979556,155.046767218582,388.2570471150633,99.82513617708314,14.030412578628436
2035,98.2860648932172,211.08876323565443,92.49794560432201,62.6045229730159,93.50163927493885,263.30162939395495,17.174032553097824,9.695410996649539,139.65801076447949,155.03643199282521,382.2884556369808,98.92251492389303,14.092364314134555
2036,97.7854091189696,206.96116224865148,92.24894934802697,61.55412230632867,93.34657025391763,262.339743969099,17.067812735920153,9.644691418897443,137.37047082606128,155.02641181475323,377.15029316363535,98.06289087485898,14.149057056250966
2037,97.42120074240948,204.58179451200616,92.06820712050273,60.853817462216256,93.34484425103011,261.8537159476369,17.073476622398285,9.600945026054866,136.42421653865793,155.0190692118839,374.55143795646273,98.16902516682097,14.180080562197986
2038,97.05174030466765,204.1887800898537,91.92484629331072,60.50701906188658,93.45860486163009,261.7276716051378,17.188007834882917,9.564875927839731,136.11643920648723,155.01295440861122,374.86820702276344,99.55970146200858,14.239185166565289
2039,96.49149403071594,202.81518782816244,91.73881895827591,59.90801520852709,93.31607824184861,261.24514154781724,17.282465401272205,9.535673142407942,134.60744794732412,155.00419093560984,373.0283352697323,100.73997442543832,14.379195594410442
2040,95.94539331832065,204.21583266212636,91.58981952913595,59.67706185459226,93.32711745099107,261.2198041414659,17.62618412392386,9.512432510643013,133.77049211896275,154.99681775273407,374.65626923255354,104.5122316532891,14.629445736572867
2041,95.47265382042703,206.42823655476232,91.49814886325203,59.517454966922266,93.50360616862052,261.52571202118605,18.01976582388551,9.494321758788884,134.0986224656051,154.99192681461753,377.7800085355746,108.85471394581778,14.832226006330666
2042,94.7803083593891,207.5837229580441,91.36726346763865,58.77127089804636,93.50684353471983,261.4952331073208,18.387902260551307,9.480632162384085,133.36888934257146,154.98481399111967,378.56152296052664,113.06902695624701,15.105874521266827
2043,94.7846777036028,211.7980846439902,91.39136876392541,58.95505567431039,93.98803507738349,262.5239911522907,18.941298163598095,9.47075717377464,136.11118260612227,154.98517273388447,385.2729290032597,119.64236941182538,15.217859668594885
