variable,parent,ftype,weight,aggr,namespace
welfare_objective,utility_objective,objective,0.0,sum,ns_functions
temperature_objective,CO2_obj,objective,0.0,sum,ns_functions
CO2_objective,CO2_obj,objective,0.0,sum,ns_functions
gwp20_objective,GWP_obj,objective,0.0,sum,ns_witness
gwp100_objective,GWP_obj,objective,0.0,sum,ns_witness
non_use_capital_objective,non_use_capital_objective,objective,0.0,sum,ns_witness
delta_capital_objective,delta_capital_objective,objective,0.0,sum,ns_functions
delta_capital_objective_weighted,delta_capital_objective_weighted,objective,0.0,sum,ns_functions
negative_welfare_objective,utility_objective,objective,1.0,sum,ns_functions
rockstrom_limit_constraint,CO2 ppm,ineq_constraint,0.0,smax,ns_functions
minimum_ppm_constraint,CO2 ppm,ineq_constraint,-1.0,smax,ns_functions
emax_enet_constraint,,ineq_constraint,0.0,smax,ns_functions
pc_consumption_constraint,economic_constraints,ineq_constraint,0.0,smax,ns_functions
temperature_constraint,,ineq_constraint,0.0,smax,ns_functions
delta_capital_constraint,invests_constraints,ineq_constraint,0.0,smax,ns_functions
delta_capital_constraint_dc,invests_constraints,ineq_constraint,0.0,smax,ns_functions
delta_capital_lintoquad,invests_constraints,eq_constraint,-1.0,lin_to_quad,ns_functions
non_use_capital_cons,invests_constraints,ineq_constraint,-1.0,smax,ns_functions
primary_energies_production,Energy_constraints,ineq_constraint,0.0,smax,ns_functions
carbon_to_be_stored_constraint,Carbon_to_be_stored_constraints,ineq_constraint,0.0,smax,ns_functions
carbon_storage_constraint,,ineq_constraint,0.0,smax,ns_functions
total_prod_minus_min_prod_constraint_df,Energy_constraints,ineq_constraint,-1.0,smax,ns_functions
prod_hydropower_constraint,Energy_constraints,ineq_constraint,-1.0,smax,ns_functions
total_prod_solid_fuel_elec,Energy_constraints,ineq_constraint,0.0,smax,ns_functions
total_prod_h2_liquid,Energy_constraints,ineq_constraint,0.0,smax,ns_functions
syngas_prod_constraint,Energy_constraints,ineq_constraint,-1.0,smax,ns_functions
invest_constraint,invests_constraints,ineq_constraint,0.0,smax,ns_functions
invest_sum_cons,invests_constraints,ineq_constraint,0.0,smax,ns_functions
invest_sum_cons_dc,invests_constraints,ineq_constraint,0.0,smax,ns_functions
invest_sum_eq_cons,invests_constraints,eq_constraint,-1.0,delta,ns_functions
electricity_demand_constraint,demand_constraint,ineq_constraint,-1.0,sum,ns_functions
transport_demand_constraint,demand_constraint,ineq_constraint,-1.0,sum,ns_functions
energy_production_objective,objectives,objective,0.0,sum,ns_functions
syngas_prod_objective,objectives,objective,0.0,sum,ns_functions
invest_objective,objectives,objective,0.0,sum,ns_functions
invest_objective_sum,objectives,objective,0.0,sum,ns_functions
land_demand_constraint,agriculture_constraint,ineq_constraint,-1.0,sum,ns_functions
