years,transport
2020,500.0
2021,500.0
2022,500.0
2023,500.0
2024,500.0
2025,500.0
2026,500.0
2027,500.0
2028,500.0
2029,500.0
2030,500.0
2031,500.0
2032,500.0
2033,500.0
2034,500.0
2035,500.0
2036,500.0
2037,500.0
2038,500.0
2039,500.0
2040,500.0
2041,500.0
2042,500.0
2043,500.0
2044,500.0
2045,500.0
2046,500.0
2047,500.0
2048,500.0
2049,500.0
2050,500.0
2051,500.0
2052,500.0
2053,500.0
2054,500.0
2055,500.0
2056,500.0
2057,500.0
2058,500.0
2059,500.0
2060,500.0
2061,500.0
2062,500.0
2063,500.0
2064,500.0
2065,500.0
2066,500.0
2067,500.0
2068,500.0
2069,500.0
2070,500.0
2071,500.0
2072,500.0
2073,500.0
2074,500.0
2075,500.0
2076,500.0
2077,500.0
2078,500.0
2079,500.0
2080,500.0
2081,500.0
2082,500.0
2083,500.0
2084,500.0
2085,500.0
2086,500.0
2087,500.0
2088,500.0
2089,500.0
2090,500.0
2091,500.0
2092,500.0
2093,500.0
2094,500.0
2095,500.0
2096,500.0
2097,500.0
2098,500.0
2099,500.0
2100,500.0
