years,invest
2020,1e-06
2021,0.02652468943552163
2022,0.1035447724886395
2023,0.2272347712791831
2024,0.3937682079269818
2025,0.5993186045518653
2026,0.840059483273663
2027,1.1121643662122038
2028,1.411806775487318
2029,1.735160233218834
2030,2.0783982615265835
2031,2.4376943825303936
2032,2.809222118350095
2033,3.189154991105516
2034,3.5736665229164877
2035,3.9589302359028378
2036,4.341119652184398
2037,4.718271001340931
2038,5.095871342791935
2039,5.481270443416855
2040,5.881818070095121
2041,6.3048639897061705
2042,6.7577579691294405
2043,7.247849775244369
2044,7.78248917493039
2045,8.369025935066936
2046,9.014809822533454
2047,9.727190604209374
2048,10.513518046974134
2049,11.38114191770717
2050,12.337411983287915
2051,13.389678010595809
2052,14.545289766510287
2053,15.806093231575508
2054,17.151919240994502
2055,18.557094843634996
2056,19.99594708836476
2057,21.442803024051532
2058,22.87198969956306
2059,24.257834163767097
2060,25.574663465531362
2061,26.796804653723648
2062,27.89858477721166
2063,28.85433088486316
2064,29.638370025545917
2065,30.225029248127637
2066,30.58863560147609
2067,30.703516134459026
2068,30.543997895944177
2069,30.096397378226843
2070,29.394988847312494
2071,28.486036012634106
2072,27.41580258362472
2073,26.230552269717318
2074,24.976548780344917
2075,23.700055824940513
2076,22.447337112937106
2077,21.26465635376772
2078,20.198277256865346
2079,19.294463531663
2080,18.599478887593676
2081,18.159587034090386
2082,18.021051680586133
2083,18.230136536513918
2084,18.833105311306753
2085,19.846979437517778
2086,21.171811240180702
2087,22.678410767449364
2088,24.237588067477617
2089,25.72015318841928
2090,26.996916178428222
2091,27.938687085658273
2092,28.416275958263277
2093,28.300492844397088
2094,27.46214779221354
2095,25.77205084986649
2096,23.101012065509735
2097,19.319841487297193
2098,14.299349163382624
2099,7.910345141919964
2100,0.02363947106301918
