years,FossilGas (Gha),UpgradingBiogas (Gha),WaterGasShift (Gha),Electrolysis.SOEC (Gha),Electrolysis.PEM (Gha),Electrolysis.AWE (Gha),PlasmaCracking (Gha),AnaerobicDigestion (Gha),BiomassGasification (Gha),SMR (Gha),CoalGasification (Gha),Pyrolysis (Gha),AutothermalReforming (Gha),CoElectrolysis (Gha),Refinery (Gha),FischerTropsch (Gha),HefaDecarboxylation (Gha),HefaDeoxygenation (Gha),CoalExtraction (Gha),Pelletizing (Gha),ManagedWood (Gha),UnmanagedWood (Gha),CropEnergy (Gha),WindOffshore (Gha),WindOnshore (Gha),SolarPv (Gha),SolarThermal (Gha),Hydropower (Gha),Nuclear (Gha),CombinedCycleGasTurbine (Gha),GasTurbine (Gha),BiogasFired (Gha),Geothermal (Gha),CoalGen (Gha),OilGen (Gha),BiomassFired (Gha),Transesterification (Gha),HydrogenLiquefaction (Gha),direct_air_capture.AmineScrubbing (Gha),direct_air_capture.CalciumPotassiumScrubbing (Gha),flue_gas_capture.CalciumLooping (Gha),flue_gas_capture.ChilledAmmoniaProcess (Gha),flue_gas_capture.CO2Membranes (Gha),flue_gas_capture.MonoEthanolAmine (Gha),flue_gas_capture.PiperazineProcess (Gha),flue_gas_capture.PressureSwingAdsorption (Gha),BiomassBuryingFossilization (Gha),DeepOceanInjection (Gha),DeepSalineFormation (Gha),DepletedOilGas (Gha),EnhancedOilRecovery (Gha),GeologicMineralization (Gha),PureCarbonSolidStorage (Gha)
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1507295999977623,0.09632171893147505,0.0168,0.0,0.0,0.0027794413817225426,4.7864420195905585e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1514591999955244,0.09563783472706157,0.016141442584602435,0.0,0.0,0.0033854184544542813,7.617426923139647e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1521887999932865,0.09495395052264807,0.015494645180216864,0.0,0.0,0.004087590723986649,0.00010448411826688737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1815227291353778,0.09446630367029131,0.01486128785291524,0.0,0.0,0.004870965145728987,0.00025397059080354255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205834360531383,0.10507611238721946,0.014241370734841455,0.0,0.0,0.005719795572927991,0.0003954166852666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2258232747907118,0.1247775030487783,0.013634894024211367,0.0,0.0,0.006618441340722576,0.0005292737756604592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2421503234046074,0.1514593948493108,0.013041857985312776,0.0,0.0,0.007553125943713155,0.000656036119189659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255437628746145,0.18394577436661713,0.012462262948505443,0.0,0.0,0.008511113186117754,0.0007762233494079988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2662685840702352,0.22044491588715798,0.011894429310221062,0.0,0.0,0.009480973684577367,0.0008903385469419168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275187853513618,0.2595607594548348,0.011340037532963294,0.0,0.0,0.01045261569365424,0.0009988513520418293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
