years,Agriculture total (Gha)
2020,5.077364739939983
2021,5.13122188470997
2022,5.183786861310227
2023,5.232136352705212
2024,5.2751636745316
2025,5.314325538692132
2026,5.35065316879472
2027,5.383824513844675
2028,5.4146162147313905
2029,5.443502261528875
2030,5.470721053723071
2031,5.495680789918852
2032,5.518660242285787
2033,5.53977280288557
2034,5.558769978367661
2035,5.576721032034909
2036,5.593860240311957
2037,5.6092880831286145
2038,5.622976699298404
2039,5.635752602277635
2040,5.647755140328524
2041,5.658431514482726
2042,5.667380971975813
2043,5.6743941960872295
2044,5.6808347658208165
2045,5.686571729132999
2046,5.692878400333188
2047,5.699958889046829
2048,5.706379042390558
2049,5.712578767813596
2050,5.719927588613248
2051,5.728128676185181
2052,5.737317057985101
2053,5.7477043716097915
2054,5.759016388435035
2055,5.770680630925412
2056,5.783465777783115
2057,5.795133645857402
2058,5.805368866305268
2059,5.815140558659192
2060,5.824322779707479
2061,5.832809972391487
2062,5.8401067342126005
2063,5.846725818649974
2064,5.852541207876323
2065,5.857385069784996
2066,5.860729871466823
2067,5.8622024178628145
2068,5.861796989164606
2069,5.859507836121202
2070,5.855433201094957
2071,5.849654826799662
2072,5.842055734425934
2073,5.832742938059133
2074,5.821735104061182
2075,5.809089498226648
2076,5.794852011936683
2077,5.778968831897657
2078,5.761504554402615
2079,5.742491113929999
2080,5.721979499571626
2081,5.700012235854501
2082,5.676490874613134
2083,5.6514780997402685
2084,5.625050072162722
2085,5.597288988042547
2086,5.568297048975077
2087,5.538039797212736
2088,5.506677381112744
2089,5.474381734333175
2090,5.441329021900225
2091,5.407692842247422
2092,5.373547948842849
2093,5.339167049069246
2094,5.304711156389206
2095,5.270310918187453
2096,5.236056445150563
2097,5.201913263057877
2098,5.167921813522956
2099,5.134059526217568
2100,5.100260304788862
