years,margin
2020,110.0
2021,110.0
2022,110.0
2023,110.0
2024,110.0
2025,110.0
2026,110.0
2027,110.0
2028,110.0
2029,110.0
2030,110.0
2031,110.0
2032,110.0
2033,110.0
2034,110.0
2035,110.0
2036,110.0
2037,110.0
2038,110.0
2039,110.0
2040,110.0
2041,110.0
2042,110.0
2043,110.0
2044,110.0
2045,110.0
2046,110.0
2047,110.0
2048,110.0
2049,110.0
2050,110.0
2051,110.0
2052,110.0
2053,110.0
2054,110.0
2055,110.0
2056,110.0
2057,110.0
2058,110.0
2059,110.0
2060,110.0
2061,110.0
2062,110.0
2063,110.0
2064,110.0
2065,110.0
2066,110.0
2067,110.0
2068,110.0
2069,110.0
2070,110.0
2071,110.0
2072,110.0
2073,110.0
2074,110.0
2075,110.0
2076,110.0
2077,110.0
2078,110.0
2079,110.0
2080,110.0
2081,110.0
2082,110.0
2083,110.0
2084,110.0
2085,110.0
2086,110.0
2087,110.0
2088,110.0
2089,110.0
2090,110.0
2091,110.0
2092,110.0
2093,110.0
2094,110.0
2095,110.0
2096,110.0
2097,110.0
2098,110.0
2099,110.0
2100,110.0
