years,oil_resource,uranium_resource,natural_gas_resource,coal_resource,copper_resource,water_resource,sea_water_resource,CO2_resource,biomass_dry_resource,wet_biomass_resource,natural_oil_resource,methanol_resource,sodium_hydroxide_resource,wood_resource,carbon_resource,managed_wood_resource,oxygen_resource,dioxygen_resource,crude_oil_resource,solid_fuel_resource,calcium_resource,calcium_oxyde_resource,potassium_resource,potassium_hydroxide_resource,amine_resource,ethanol_amine_resource,mono_ethanol_amine_resource,glycerol_resource
2020,476.37669999999997,32928.67513611616,1028.5547206280144,55.7669299125,10057.0,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2021,476.37669999999997,42576.84638318842,948.2951894534034,55.76692991250006,49985.928254679035,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2022,475.8011731973144,45704.95267297632,885.8864331269987,55.76692991250006,49999.76648932057,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2023,467.42730586055677,48686.13270900217,845.21264209883,55.46531128483925,49999.78810721553,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2024,461.5975356465917,51468.08417685033,838.0287703552351,54.58780032422032,49999.7868225279,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2025,459.7375470966395,54180.53444442772,827.7887400999999,53.61337198429579,49999.788956657314,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2026,458.1538100137907,57473.66959417325,827.7887400999999,52.97719907564465,49999.7899499271,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2027,456.5851270490903,60373.49026612598,827.7887400999999,52.637682117791435,49999.7913166724,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2028,455.6851111951839,62927.9857373756,827.7887400999999,52.30240687112836,49999.78933756103,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2029,455.1258387680354,65176.76180582744,827.7887400999999,51.97193289071809,49999.78602736768,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2030,453.1626127377411,66773.14274491523,827.7887400999999,51.48080369256697,49999.781482826955,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2031,452.1255151886153,68315.3912944733,827.7887400999999,51.02442086796698,49999.77577358945,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2032,451.79004155358575,69451.8441103361,827.7887400999999,50.45409710954263,49999.76895276504,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2033,450.7422070972244,70354.15913278917,827.7887400999999,49.235574969676996,49999.76106674046,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2034,450.6565897287263,70976.72508131056,827.7887400999999,48.918090169365016,49999.75216492613,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2035,451.1520613648767,71071.52432076665,827.7887400999999,48.60940194202699,49999.74231009947,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2036,451.8662638665239,71374.6504603362,827.7887400999999,48.053131785920385,49999.73158984524,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2037,452.8800221054034,71299.89838945794,827.7887400999999,46.260227139827514,49999.72012930224,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2038,453.9425986687788,71584.79577414691,827.7887400999999,45.16939710456984,49999.708088254774,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2039,455.7109169919024,71643.07009185053,827.7887400999999,42.734724584111746,49999.69561657616,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2040,456.3263419978236,71883.64365787158,827.7887400999999,36.477848033205426,49999.68287544349,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
