years,temp_atmo
2020,1.05
2021,1.0781178925377988
2022,1.1051732507735506
2023,1.1314313010227444
2024,1.1569943334565929
2025,1.1819573735950542
2026,1.206390985967583
2027,1.230347068705315
2028,1.2538633542961852
2029,1.2769646965298445
2030,1.2996613794866059
2031,1.3219184287902017
2032,1.3437417250451211
2033,1.3651354149976849
2034,1.3861059207898887
2035,1.4066793649513327
2036,1.426878922825821
2037,1.4467196119010302
2038,1.466198524107123
2039,1.4853301994493142
2040,1.5041315717756565
2041,1.5225931441742133
2042,1.5407027176688213
2043,1.5584374927512834
2044,1.575796078345868
2045,1.5927718815518512
2046,1.609386133594354
2047,1.6256662571697589
2048,1.641595023249817
2049,1.6571600613323474
2050,1.6723794269959773
2051,1.6872570062619408
2052,1.7018072467501015
2053,1.7160438971206986
2054,1.7299743005338344
2055,1.74359410805379
2056,1.7569231305360686
2057,1.7699394494140634
2058,1.7826216223953066
2059,1.794979413230487
2060,1.807022136408397
2061,1.8187591061524644
2062,1.8302000239806553
2063,1.8413690686970063
2064,1.8522878519452604
2065,1.8629737287819046
2066,1.8734288179329575
2067,1.883657718286109
2068,1.8936666442950056
2069,1.9034626360912428
2070,1.9130529805026406
2071,1.9224447421864082
2072,1.9316439872709297
2073,1.9406559786181117
2074,1.9494849249295163
2075,1.9581338687429142
2076,1.9666045101958325
2077,1.9748963365464396
2078,1.983007806837362
2079,1.9909363292671496
2080,1.9986783092223375
2081,2.0062292309894936
2082,2.013583781713891
2083,2.020736009043672
2084,2.0276795225665123
2085,2.034407724107052
2086,2.0409140699448742
2087,2.0471923573805397
2088,2.0532370397297988
2089,2.0590435188896863
2090,2.064608406249762
2091,2.0699296673657694
2092,2.0750153462488434
2093,2.0798973676014194
2094,2.0846064950233405
2095,2.089172249455422
2096,2.0936224115652786
2097,2.097982158635639
2098,2.102273014956476
2099,2.106511429234802
2100,2.1107120029036692
