years,total surface (Gha)
2020,5.077364739939983
2021,5.13122188470997
2022,5.183786861310227
2023,5.232136352705212
2024,5.2751636745316
2025,5.314325538692132
2026,5.35065316879472
2027,5.383824513844675
2028,5.4146162147313905
2029,5.4435022615288755
2030,5.470721053723071
2031,5.495680789918852
2032,5.518660242285787
2033,5.539772802885569
2034,5.558769978367661
2035,5.576721032034909
2036,5.593860240311957
2037,5.609288083128615
2038,5.622976699298405
2039,5.635752602277635
2040,5.647755140328522
2041,5.658431514482725
2042,5.667380971975813
2043,5.67439419608723
2044,5.680834765820813
2045,5.686571729132996
2046,5.692878400333187
2047,5.699958889046828
2048,5.706379042390555
2049,5.712578767813593
2050,5.719927588613244
2051,5.728128676185176
2052,5.7373170579850985
2053,5.747704371609789
2054,5.75901638843503
2055,5.770680630925408
2056,5.783465777783111
2057,5.795133645857398
2058,5.805368866305263
2059,5.815140558659189
2060,5.824322779707474
2061,5.832809972391482
2062,5.840106734212595
2063,5.846725818649967
2064,5.852541207876318
2065,5.8573850697849945
2066,5.860729871466821
2067,5.862202417862811
2068,5.861796989164602
2069,5.859507836121197
2070,5.855433201094949
2071,5.849654826799659
2072,5.842055734425929
2073,5.832742938059131
2074,5.821735104061175
2075,5.809089498226644
2076,5.794852011936678
2077,5.778968831897654
2078,5.761504554402611
2079,5.742491113929995
2080,5.7219794995716216
2081,5.700012235854499
2082,5.676490874613129
2083,5.651478099740265
2084,5.6250500721627175
2085,5.597288988042545
2086,5.568297048975075
2087,5.5380397972127335
2088,5.506677381112739
2089,5.474381734333172
2090,5.441329021900222
2091,5.407692842247416
2092,5.373547948842843
2093,5.3391670490692436
2094,5.3047111563892
2095,5.270310918187446
2096,5.236056445150559
2097,5.20191326305787
2098,5.16792181352295
2099,5.134059526217562
2100,5.100260304788858
