years,share_investment
2020,25.0
2021,25.0
2022,25.0
2023,25.0
2024,25.0
2025,25.0
2026,25.0
2027,25.0
2028,25.0
2029,25.0
2030,25.0
2031,25.0
2032,25.0
2033,25.0
2034,25.0
2035,25.0
2036,25.0
2037,25.0
2038,25.0
2039,25.0
2040,25.0
2041,25.0
2042,25.0
2043,25.0
2044,25.0
2045,25.0
2046,25.0
2047,25.0
2048,25.0
2049,25.0
2050,25.0
2051,25.0
2052,25.0
2053,25.0
2054,25.0
2055,25.0
2056,25.0
2057,25.0
2058,25.0
2059,25.0
2060,25.0
2061,25.0
2062,25.0
2063,25.0
2064,25.0
2065,25.0
2066,25.0
2067,25.0
2068,25.0
2069,25.0
2070,25.0
2071,25.0
2072,25.0
2073,25.0
2074,25.0
2075,25.0
2076,25.0
2077,25.0
2078,25.0
2079,25.0
2080,25.0
2081,25.0
2082,25.0
2083,25.0
2084,25.0
2085,25.0
2086,25.0
2087,25.0
2088,25.0
2089,25.0
2090,25.0
2091,25.0
2092,25.0
2093,25.0
2094,25.0
2095,25.0
2096,25.0
2097,25.0
2098,25.0
2099,25.0
2100,25.0
