years,transport_demand
2020,33600.0
2021,33555.0
2022,33510.0
2023,33465.0
2024,33420.0
2025,33375.0
2026,33330.0
2027,33285.0
2028,33240.0
2029,33195.0
2030,33150.0
2031,33105.0
2032,33060.0
2033,33015.0
2034,32970.0
2035,32925.0
2036,32880.0
2037,32835.0
2038,32790.0
2039,32745.0
2040,32700.0
2041,32655.0
2042,32610.0
2043,32565.0
2044,32520.0
2045,32475.0
2046,32430.0
2047,32385.0
2048,32340.0
2049,32295.0
2050,32250.0
2051,32205.0
2052,32160.0
2053,32115.0
2054,32070.0
2055,32025.0
2056,31980.0
2057,31935.0
2058,31890.0
2059,31845.0
2060,31800.0
2061,31755.0
2062,31710.0
2063,31665.0
2064,31620.0
2065,31575.0
2066,31530.0
2067,31485.0
2068,31440.0
2069,31395.0
2070,31350.0
2071,31305.0
2072,31260.0
2073,31215.0
2074,31170.0
2075,31125.0
2076,31080.0
2077,31035.0
2078,30990.0
2079,30945.0
2080,30900.0
2081,30855.0
2082,30810.0
2083,30765.0
2084,30720.0
2085,30675.0
2086,30630.0
2087,30585.0
2088,30540.0
2089,30495.0
2090,30450.0
2091,30405.0
2092,30360.0
2093,30315.0
2094,30270.0
2095,30225.0
2096,30180.0
2097,30135.0
2098,30090.0
2099,30045.0
2100,30000.0
