variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
methane_FossilGas_array_mix,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 4.526158136288341, 4.999961086644442, 4.99999951423199]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
methane_UpgradingBiogas_array_mix,"[100.0, 100.0, 100.0, 100.0, 100.0, 5.2384186371165935, 0.5003891335555795, 0.5000048576801022]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen_gaseous_hydrogen_WaterGasShift_array_mix,"[36.883159540559305, 19.555439394494194, 11.81376823551374, 10.113091704292543, 10.001116550705282, 10.000098441636418, 9.999998505504553, 9.999999084291858]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen_gaseous_hydrogen_Electrolysis_SOEC_array_mix,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.016248488493475922, 0.017187495387294534]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen_gaseous_hydrogen_Electrolysis_PEM_array_mix,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.016281922609901713, 0.017188371198979122]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen_gaseous_hydrogen_Electrolysis_AWE_array_mix,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.016350577049533903, 0.01719098598647625]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
biogas_AnaerobicDigestion_array_mix,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",False,"[True, True, True, True, True, True, True, True]"
syngas_BiomassGasification_array_mix,"[100.0, 100.0, 100.0, 100.0, 0.8495782395382157, 0.6773712060374052, 0.7094361928420555, 0.751806996270693]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
syngas_SMR_array_mix,"[1e-06, 1e-06, 1e-06, 1e-06, 8.351726885307974, 8.15068199485323, 7.827518411116387, 7.514477055878042]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
syngas_CoalGasification_array_mix,"[100.0, 100.0, 100.0, 100.0, 2.8918708745068917, 0.47638542779771703, 0.41734472958544555, 0.40396327413981054]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
liquid_fuel_Refinery_array_mix,"[1e-06, 1e-06, 1e-06, 65.87125908494991, 79.99781929319289, 74.99978085300242, 69.99999110504427, 65.0000004752432]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
liquid_fuel_FischerTropsch_array_mix,"[100.0, 100.0, 100.0, 100.0, 40.10528662462877, 50.10043310708662, 60.10001392498136, 70.09999948038964]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
solid_fuel_CoalExtraction_array_mix,"[40.15683285654936, 1e-06, 1e-06, 1e-06, 1e-06, 31.38087918723946, 18.8755474898789, 49.977448094810214]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
solid_fuel_Pelletizing_array_mix,"[100.0, 100.0, 100.0, 100.0, 100.0, 87.56859689815978, 80.50230237431528, 80.0092438914516]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
biomass_dry_ManagedWood_array_mix,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 1e-06]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
biomass_dry_UnmanagedWood_array_mix,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 1e-06, 1e-06]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
biomass_dry_CropEnergy_array_mix,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 100.0, 100.0]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
