Model;Scenario;Region;Variable;Unit;2005;2010;2020;2030;2040;2050;2060;2070;2080;2090;2100;Notes
AIM/CGE;SSP3-Baseline;R5.2ASIA;GDP|PPP;billion US$2020/yr;16939,77975;25083,94365;50091,6258;76183,33095;93207,37365;105614,573;114758,4578;123813,5031;133035,7176;142454,7851;153105,6668;
GCAM4;SSP4-Baseline;R5.2ASIA;GDP|PPP;billion US$2020/yr;16668,3825;24909,47235;48827,95155;79037,7372;106600,9964;129802,3785;147355,1609;160710,5948;169230,7634;174485,9597;177802,151;
IMAGE;SSP1-Baseline;R5.2ASIA;GDP|PPP;billion US$2020/yr;17859,0987;27146,9448;53321,77755;97403,04405;150745,6643;200577,2274;240614,0708;271965,2598;293159,2095;306137,9786;311053,9725;
MESSAGE-GLOBIOM;SSP2-Baseline;R5.2ASIA;GDP|PPP;billion US$2020/yr;16185,96;25406,865;49959,72;81367,2;111773,25;141972,75;171069,3;201089,25;230924,25;260340,75;290011,05;
REMIND-MAGPIE;SSP5-Baseline;R5.2ASIA;GDP|PPP;billion US$2020/yr;16367,4;25768,8;50647,95;100642,5;168898,5;238693,5;303277,5;364770;418027,5;464130;504225;
AIM/CGE;SSP3-Baseline;R5.2LAM;GDP|PPP;billion US$2020/yr;6042,63915;7203,9834;10636,7418;14046,30855;16911,3393;19665,8523;22497,47325;25544,30175;28880,10045;32373,91665;36179,73945;
GCAM4;SSP4-Baseline;R5.2LAM;GDP|PPP;billion US$2020/yr;6489,06795;7864,9056;11365,5744;15335,32365;19527,9363;23725,38195;28011,41055;32140,88775;35998,5411;39597,9273;43047,06255;
IMAGE;SSP1-Baseline;R5.2LAM;GDP|PPP;billion US$2020/yr;6833,73645;8229,46365;11548,8909;16759,54665;23864,4333;31729,7061;39557,1627;46661,65515;52621,24905;57273,5124;60214,7007;
MESSAGE-GLOBIOM;SSP2-Baseline;R5.2LAM;GDP|PPP;billion US$2020/yr;6487,695;7875,495;11479,05;15788,25;20518,65;25871,4;31841,1;38327,85;45301,95;52672,95;60451,65;
REMIND-MAGPIE;SSP5-Baseline;R5.2LAM;GDP|PPP;billion US$2020/yr;6517,8;7892,1;11335,95;17239,5;26298;36976,5;48235,5;59575,5;70267,5;80122,5;89275,5;
AIM/CGE;SSP3-Baseline;R5.2MAF;GDP|PPP;billion US$2020/yr;5254,1487;6839,9775;10927,64655;16399,2762;22518,67365;29129,23485;36801,86805;46527,30315;58682,78955;73269,5139;90345,02265;
GCAM4;SSP4-Baseline;R5.2MAF;GDP|PPP;billion US$2020/yr;5722,13295;7153,0263;11408,769;17586,6039;24959,62215;32800,896;41383,20105;51226,9029;62364,00465;74979,7047;89256,09645;
IMAGE;SSP1-Baseline;R5.2MAF;GDP|PPP;billion US$2020/yr;5514,7662;6978,8358;10633,3749;17692,80975;29457,01215;46625,7978;70317,28935;100430,1963;134537,7276;170664,3945;205842,5244;
MESSAGE-GLOBIOM;SSP2-Baseline;R5.2MAF;GDP|PPP;billion US$2020/yr;5706,45;7208,055;11495,385;18116,865;27094,365;39476,7;56859,3;80979,75;112433,4;151841,25;199029,15;
REMIND-MAGPIE;SSP5-Baseline;R5.2MAF;GDP|PPP;billion US$2020/yr;5537,565;7110,45;11388,6;20413,35;37476;63517,5;100683;151173;212706;283527;362151;
AIM/CGE;SSP3-Baseline;R5.2OECD;GDP|PPP;billion US$2020/yr;42698,8854;44856,55395;54677,57175;62410,44195;67576,3047;70811,60535;72701,6931;73818,2457;73342,05075;72108,0981;70593,26985;
GCAM4;SSP4-Baseline;R5.2OECD;GDP|PPP;billion US$2020/yr;44990,39295;47131,5294;58209,9615;71694,3501;85924,15065;98736,35805;111008,8193;123200,6733;133516,1354;142580,8899;150600,1424;
IMAGE;SSP1-Baseline;R5.2OECD;GDP|PPP;billion US$2020/yr;44130,91275;46214,97525;56455,04925;70312,98825;85851,1197;100715,1908;115246,2465;130256,2107;144127,8846;156812,189;168373,9656;
