,years,investment
0,2020,0.5
1,2021,0.496875
2,2022,0.49375
3,2023,0.490625
4,2024,0.4875
5,2025,0.484375
6,2026,0.48125
7,2027,0.478125
8,2028,0.475
9,2029,0.471875
10,2030,0.46875
11,2031,0.465625
12,2032,0.4625
13,2033,0.459375
14,2034,0.45625
15,2035,0.453125
16,2036,0.45
17,2037,0.446875
18,2038,0.44375
19,2039,0.440625
20,2040,0.4375
21,2041,0.434375
22,2042,0.43125
23,2043,0.428125
24,2044,0.425
25,2045,0.421875
26,2046,0.41875
27,2047,0.415625
28,2048,0.4125
29,2049,0.409375
30,2050,0.40625
31,2051,0.403125
32,2052,0.4
33,2053,0.396875
34,2054,0.39375
35,2055,0.390625
36,2056,0.3875
37,2057,0.384375
38,2058,0.38125
39,2059,0.378125
40,2060,0.375
41,2061,0.37187499999999996
42,2062,0.36875
43,2063,0.365625
44,2064,0.3625
45,2065,0.359375
46,2066,0.35624999999999996
47,2067,0.353125
48,2068,0.35
49,2069,0.346875
50,2070,0.34375
51,2071,0.34062499999999996
52,2072,0.3375
53,2073,0.334375
54,2074,0.33125
55,2075,0.328125
56,2076,0.32499999999999996
57,2077,0.321875
58,2078,0.31875
59,2079,0.315625
60,2080,0.3125
61,2081,0.30937499999999996
62,2082,0.30625
63,2083,0.303125
64,2084,0.3
65,2085,0.296875
66,2086,0.29374999999999996
67,2087,0.290625
68,2088,0.2875
69,2089,0.284375
70,2090,0.28125
71,2091,0.27812499999999996
72,2092,0.275
73,2093,0.271875
74,2094,0.26875
75,2095,0.265625
76,2096,0.26249999999999996
77,2097,0.259375
78,2098,0.25625
79,2099,0.253125
80,2100,0.25
