Model;Scenario;Region;Variable;Unit;2005;2010;2020;2030;2040;2050;2060;2070;2080;2090;2100;Notes
AIM/CGE;SSP3-Baseline;R5.2ASIA;GDP|PPP;billion US$2005/yr;12547,985;18580,699;37104,908;56432,097;69042,499;78233,017;85006,265;91713,706;98544,976;105522,063;113411,605;
GCAM4;SSP4-Baseline;R5.2ASIA;GDP|PPP;billion US$2005/yr;12346,950;18451,461;36168,853;58546,472;78963,701;96149,910;109151,971;119044,885;125356,121;129248,859;131705,297;
IMAGE;SSP1-Baseline;R5.2ASIA;GDP|PPP;billion US$2005/yr;13228,962;20108,848;39497,613;72150,403;111663,455;148575,724;178232,645;201455,748;217154,970;226768,873;230410,350;
MESSAGE-GLOBIOM;SSP2-Baseline;R5.2ASIA;GDP|PPP;billion US$2005/yr;11989,600;18819,900;37007,200;60272,000;82795,000;105165,000;126718,000;148955,000;171055,000;192845,000;214823,000;
REMIND-MAGPIE;SSP5-Baseline;R5.2ASIA;GDP|PPP;billion US$2005/yr;12124,000;19088,000;37517,000;74550,000;125110,000;176810,000;224650,000;270200,000;309650,000;343800,000;373500,000;
AIM/CGE;SSP3-Baseline;R5.2LAM;GDP|PPP;billion US$2005/yr;4476,029;5336,284;7879,068;10404,673;12526,918;14567,298;16664,795;18921,705;21392,667;23980,679;26799,807;
GCAM4;SSP4-Baseline;R5.2LAM;GDP|PPP;billion US$2005/yr;4806,717;5825,856;8418,944;11359,499;14465,138;17574,357;20749,193;23808,065;26665,586;29331,798;31886,713;
IMAGE;SSP1-Baseline;R5.2LAM;GDP|PPP;billion US$2005/yr;5062,027;6095,899;8554,734;12414,479;17677,358;23503,486;29301,602;34564,189;38978,703;42424,824;44603,482;
MESSAGE-GLOBIOM;SSP2-Baseline;R5.2LAM;GDP|PPP;billion US$2005/yr;4805,700;5833,700;8503,000;11695,000;15199,000;19164,000;23586,000;28391,000;33557,000;39017,000;44779,000;
REMIND-MAGPIE;SSP5-Baseline;R5.2LAM;GDP|PPP;billion US$2005/yr;4828,000;5846,000;8397,000;12770,000;19480,000;27390,000;35730,000;44130,000;52050,000;59350,000;66130,000;
AIM/CGE;SSP3-Baseline;R5.2MAF;GDP|PPP;billion US$2005/yr;3891,962;5066,650;8094,553;12147,612;16680,499;21577,211;27260,643;34464,669;43468,733;54273,714;66922,239;
GCAM4;SSP4-Baseline;R5.2MAF;GDP|PPP;billion US$2005/yr;4238,617;5298,538;8450,940;13027,114;18488,609;24296,960;30654,223;37945,854;46195,559;55540,522;66115,627;
IMAGE;SSP1-Baseline;R5.2MAF;GDP|PPP;billion US$2005/yr;4085,012;5169,508;7876,574;13105,785;21820,009;34537,628;52086,881;74392,738;99657,576;126418,070;152475,944;
MESSAGE-GLOBIOM;SSP2-Baseline;R5.2MAF;GDP|PPP;billion US$2005/yr;4227,000;5339,300;8515,100;13419,900;20069,900;29242,000;42118,000;59985,000;83284,000;112475,000;147429,000;
