Country,Year,Value USD (million USD)
ASEAN,2000,27994.1
ASEAN,2000,15065.1
ASEAN,2000,3053.9
ASEAN,2000,4702.5
ASEAN,2000,13710.3
ASEAN,2000,14954.8
ASEAN,2000,4851.6
ASEAN,2000,4807.6
ASEAN,2000,4802.8
ASEAN,2000,42496.9
ASEAN,2000,11421.3
ASEAN,2001,27523.2
ASEAN,2001,14488.1
ASEAN,2001,2801.5
ASEAN,2001,4524.3
ASEAN,2001,13824.4
ASEAN,2001,14553.6
ASEAN,2001,4565.8
ASEAN,2001,4903.5
ASEAN,2001,4990.9
ASEAN,2001,40451.2
ASEAN,2001,12141.5
ASEAN,2002,31215
ASEAN,2002,15809.8
ASEAN,2002,3186.7
ASEAN,2002,5075.6
ASEAN,2002,15553.4
ASEAN,2002,15963.3
ASEAN,2002,5181
ASEAN,2002,5514.5
ASEAN,2002,5825.4
ASEAN,2002,43343.6
ASEAN,2002,13803.1
ASEAN,2003,35096.8
ASEAN,2003,17653.1
ASEAN,2003,3635.4
ASEAN,2003,5739.6
ASEAN,2003,17695.7
ASEAN,2003,17772
ASEAN,2003,5893.9
ASEAN,2003,6250.5
ASEAN,2003,6268.2
ASEAN,2003,47931.7
ASEAN,2003,15637.9
ASEAN,2004,38999.2
ASEAN,2004,19732.3
ASEAN,2004,4066
ASEAN,2004,6480.1
ASEAN,2004,19640.2
ASEAN,2004,20287.4
ASEAN,2004,6610.5
ASEAN,2004,7115.5
ASEAN,2004,7299.5
ASEAN,2004,54896.7
ASEAN,2004,17441.8
ASEAN,2005,43569.8
ASEAN,2005,21933.1
ASEAN,2005,4462.6
ASEAN,2005,7158.6
ASEAN,2005,21697.1
ASEAN,2005,22680.1
ASEAN,2005,7376.8
ASEAN,2005,7976.8
ASEAN,2005,7926
ASEAN,2005,60097.5
ASEAN,2005,19195.1
ASEAN,2006,53926.4
ASEAN,2006,24297.5
ASEAN,2006,5445.6
ASEAN,2006,8544.3
ASEAN,2006,26685.3
ASEAN,2006,26595.7
ASEAN,2006,9368.7
ASEAN,2006,9058.7
ASEAN,2006,9274.7
ASEAN,2006,70250.3
ASEAN,2006,22413.1
ASEAN,2007,64759.4
ASEAN,2007,27907
ASEAN,2007,6303.8
ASEAN,2007,9948.1
ASEAN,2007,31113.9
ASEAN,2007,31452.1
ASEAN,2007,10911.7
ASEAN,2007,10732.3
ASEAN,2007,10540.8
ASEAN,2007,83023
ASEAN,2007,26519.5
ASEAN,2008,78523.2
ASEAN,2008,34474.7
ASEAN,2008,7316.7
ASEAN,2008,11659
ASEAN,2008,35982.4
ASEAN,2008,35956.4
ASEAN,2008,13012.8
ASEAN,2008,12181.9
ASEAN,2008,12489.5
ASEAN,2008,92676.4
ASEAN,2008,30348
ASEAN,2009,78307.7
ASEAN,2009,34310.3
ASEAN,2009,7272.4
ASEAN,2009,11530.6
ASEAN,2009,35701.5
ASEAN,2009,35645.8
ASEAN,2009,12854.1
ASEAN,2009,12164.6
ASEAN,2009,11211.3
ASEAN,2009,90858
ASEAN,2009,30383.4
ASEAN,2010,94598.8
ASEAN,2010,40662.5
ASEAN,2010,8832.4
ASEAN,2010,14059.9
ASEAN,2010,43890.6
ASEAN,2010,43671.8
ASEAN,2010,15574.3
ASEAN,2010,14574.6
ASEAN,2010,13485.8
ASEAN,2010,111095.4
ASEAN,2010,37252
ASEAN,2011,107287.6
ASEAN,2011,46396.5
ASEAN,2011,9945.9
ASEAN,2011,15341.4
ASEAN,2011,51790.9
ASEAN,2011,47421
ASEAN,2011,17885.3
ASEAN,2011,16540
ASEAN,2011,15094.3
ASEAN,2011,114338.3
ASEAN,2011,44953
ASEAN,2012,113482.8
ASEAN,2012,49575.8
ASEAN,2012,9982.6
ASEAN,2012,16092.2
ASEAN,2012,52523.9
ASEAN,2012,50543.9
ASEAN,2012,18527.4
ASEAN,2012,17827.4
ASEAN,2012,16006.8
ASEAN,2012,121691
ASEAN,2012,47180.1
ASEAN,2013,115930.3
ASEAN,2013,53176.6
ASEAN,2013,10170
ASEAN,2013,16529.1
ASEAN,2013,51859.2
ASEAN,2013,52563.3
ASEAN,2013,18754.2
ASEAN,2013,18587
ASEAN,2013,16509.5
ASEAN,2013,127928.9
ASEAN,2013,48500.2
ASEAN,2014,116995.4
ASEAN,2014,54324.8
ASEAN,2014,10456.6
ASEAN,2014,16617.1
ASEAN,2014,50685.8
ASEAN,2014,53618.8
ASEAN,2014,18525.1
ASEAN,2014,18854
ASEAN,2014,16736.5
ASEAN,2014,130368.9
ASEAN,2014,48061.6
ASEAN,2015,116415.8
ASEAN,2015,54283.8
ASEAN,2015,9873.3
ASEAN,2015,16187.8
ASEAN,2015,46298
ASEAN,2015,52905.8
ASEAN,2015,17958.8
ASEAN,2015,18419.8
ASEAN,2015,16340.3
ASEAN,2015,127415.2
ASEAN,2015,46570.2
ASEAN,2016,123015
ASEAN,2016,57871.5
ASEAN,2016,10322
ASEAN,2016,16956
ASEAN,2016,45381.4
ASEAN,2016,58410
ASEAN,2016,17992.2
ASEAN,2016,19277
ASEAN,2016,17280.8
ASEAN,2016,128378.7
ASEAN,2016,48879.8
ASEAN,2017,131541.8
ASEAN,2017,64286.4
ASEAN,2017,10816.9
ASEAN,2017,18225
ASEAN,2017,48192.9
ASEAN,2017,62502.8
ASEAN,2017,19546.1
ASEAN,2017,20503.3
ASEAN,2017,18665.6
ASEAN,2017,138434
ASEAN,2017,52853.5
ASEAN,2018,138562.8
ASEAN,2018,68653
ASEAN,2018,11090.6
ASEAN,2018,19366.4
ASEAN,2018,50804.7
ASEAN,2018,66780.3
ASEAN,2018,21171.6
ASEAN,2018,21868.7
ASEAN,2018,19817
ASEAN,2018,149755.2
ASEAN,2018,56235.7
Argentina,2000,16994.6
Argentina,2000,5947.1
Argentina,2000,1552.5
Argentina,2000,4570.1
Argentina,2000,2939.6
Argentina,2000,8482.3
Argentina,2000,3270.3
Argentina,2000,2380.2
Argentina,2000,5802.6
Argentina,2000,8524.3
Argentina,2000,3194.4
Argentina,2001,16180.8
Argentina,2001,5661.1
Argentina,2001,1474.5
Argentina,2001,4347.1
Argentina,2001,2814.2
Argentina,2001,8065.5
Argentina,2001,3100.4
Argentina,2001,2265.7
Argentina,2001,5533.9
Argentina,2001,8102.1
Argentina,2001,3033.2
Argentina,2002,6265.1
Argentina,2002,2177.5
Argentina,2002,565.7
Argentina,2002,1666.5
Argentina,2002,1132.3
Argentina,2002,3089.6
Argentina,2002,1187.4
Argentina,2002,870
Argentina,2002,2133.9
Argentina,2002,3111
Argentina,2002,1180.3
Argentina,2003,7997.9
Argentina,2003,2760
Argentina,2003,713.1
Argentina,2003,2104.6
Argentina,2003,1458
Argentina,2003,3897.1
Argentina,2003,1499.2
Argentina,2003,1098.3
Argentina,2003,2697.3
Argentina,2003,3926.7
Argentina,2003,1493.2
Argentina,2004,9913.1
Argentina,2004,3189
Argentina,2004,787.6
Argentina,2004,2365.5
Argentina,2004,1987.3
Argentina,2004,4500.2
Argentina,2004,1698.1
Argentina,2004,1232.3
Argentina,2004,3033.8
Argentina,2004,4382.1
Argentina,2004,1796
Argentina,2005,11111.2
Argentina,2005,3741.7
Argentina,2005,855.7
Argentina,2005,2734.4
Argentina,2005,2009.2
Argentina,2005,5035.9
Argentina,2005,1912.4
Argentina,2005,1539.2
Argentina,2005,3598.7
Argentina,2005,5372.1
Argentina,2005,2390.5
Argentina,2006,12288.8
Argentina,2006,4053.4
Argentina,2006,1002.9
Argentina,2006,3134.8
Argentina,2006,1978.7
Argentina,2006,5598.8
Argentina,2006,2060.8
Argentina,2006,1934.9
Argentina,2006,4120.8
Argentina,2006,6630.6
Argentina,2006,2954.2
Argentina,2007,14910.8
Argentina,2007,4685.3
Argentina,2007,1122
Argentina,2007,3823.6
Argentina,2007,2226
Argentina,2007,6212.7
Argentina,2007,2475.3
Argentina,2007,2324.1
Argentina,2007,4362.6
Argentina,2007,8424.6
Argentina,2007,3579.1
Argentina,2008,19533.2
Argentina,2008,5132.6
Argentina,2008,1205.8
Argentina,2008,4525.8
Argentina,2008,2844
Argentina,2008,7649.8
Argentina,2008,2761.1
Argentina,2008,2761.5
Argentina,2008,5624.7
Argentina,2008,10304.8
Argentina,2008,4288.7
Argentina,2009,18741.1
Argentina,2009,4645.6
Argentina,2009,1008
Argentina,2009,4128.3
Argentina,2009,2660.8
Argentina,2009,7187.1
Argentina,2009,2619.5
Argentina,2009,2367.3
Argentina,2009,3747.3
Argentina,2009,7910.9
Argentina,2009,3449.4
Argentina,2010,22979
Argentina,2010,6063.2
Argentina,2010,1218.3
Argentina,2010,4944.7
Argentina,2010,3464.5
Argentina,2010,8665.5
Argentina,2010,3620.1
Argentina,2010,3001.2
Argentina,2010,5319.1
Argentina,2010,10831
Argentina,2010,5028.6
Argentina,2011,28618.8
Argentina,2011,7877.9
Argentina,2011,1509.9
Argentina,2011,6159.3
Argentina,2011,4264.2
Argentina,2011,10304.7
Argentina,2011,4471
Argentina,2011,3681
Argentina,2011,6247.9
Argentina,2011,14137.3
Argentina,2011,6151.5
Argentina,2012,31343.7
Argentina,2012,7985
Argentina,2012,1498
Argentina,2012,6308
Argentina,2012,5069.8
Argentina,2012,11307.7
Argentina,2012,4922.9
Argentina,2012,3812.9
Argentina,2012,5853.7
Argentina,2012,14678
Argentina,2012,6116.9
Argentina,2013,32032.9
Argentina,2013,8363.3
Argentina,2013,1563.5
Argentina,2013,6694.8
Argentina,2013,5171.4
Argentina,2013,11751.9
Argentina,2013,5121.8
Argentina,2013,4197.7
Argentina,2013,5951.6
Argentina,2013,14941
Argentina,2013,6783.6
Argentina,2014,30494.5
Argentina,2014,7483.5
Argentina,2014,1310.2
Argentina,2014,5798.6
Argentina,2014,5244.6
Argentina,2014,10906.1
Argentina,2014,4584.2
Argentina,2014,3777.8
Argentina,2014,5878.1
Argentina,2014,12803.1
Argentina,2014,5233.2
Argentina,2015,33344.6
Argentina,2015,8599.7
Argentina,2015,1531.1
Argentina,2015,6481.7
Argentina,2015,5046.8
Argentina,2015,11487.8
Argentina,2015,5401.8
Argentina,2015,4320.7
Argentina,2015,5510.2
Argentina,2015,14609.1
Argentina,2015,5341.7
Argentina,2016,28690.1
Argentina,2016,6546.4
Argentina,2016,1223.9
Argentina,2016,5478.7
Argentina,2016,3830.7
Argentina,2016,10654.3
Argentina,2016,4131.5
Argentina,2016,3335.7
Argentina,2016,4266.3
Argentina,2016,11659.2
Argentina,2016,4708.8
Argentina,2017,31581
Argentina,2017,6315.9
Argentina,2017,1371.3
Argentina,2017,6145.5
Argentina,2017,3714.4
Argentina,2017,11741.1
Argentina,2017,4310.1
Argentina,2017,3941.6
Argentina,2017,5273.7
Argentina,2017,13021.1
Argentina,2017,5289.1
Argentina,2018,24966.3
Argentina,2018,4322.3
Argentina,2018,1039.2
Argentina,2018,4735.6
Argentina,2018,3330.2
Argentina,2018,9760.8
Argentina,2018,3363
Argentina,2018,3295.8
Argentina,2018,5252
Argentina,2018,9745.8
Argentina,2018,4666.1
Asia-Pacific Economic Cooperation,2000,445396.09
Asia-Pacific Economic Cooperation,2000,173299.7
Asia-Pacific Economic Cooperation,2000,65121.3
Asia-Pacific Economic Cooperation,2000,226176.59
Asia-Pacific Economic Cooperation,2000,151038.91
Asia-Pacific Economic Cooperation,2000,406661.31
Asia-Pacific Economic Cooperation,2000,155640.91
Asia-Pacific Economic Cooperation,2000,140492.41
Asia-Pacific Economic Cooperation,2000,215134.8
Asia-Pacific Economic Cooperation,2000,1276007.88
Asia-Pacific Economic Cooperation,2000,467720.31
Asia-Pacific Economic Cooperation,2001,446811
Asia-Pacific Economic Cooperation,2001,158951.5
Asia-Pacific Economic Cooperation,2001,60954.3
Asia-Pacific Economic Cooperation,2001,206060.3
Asia-Pacific Economic Cooperation,2001,162730.5
Asia-Pacific Economic Cooperation,2001,400516.81
Asia-Pacific Economic Cooperation,2001,143038.09
Asia-Pacific Economic Cooperation,2001,137557.59
Asia-Pacific Economic Cooperation,2001,192785.3
Asia-Pacific Economic Cooperation,2001,1107165.75
Asia-Pacific Economic Cooperation,2001,450395.59
Asia-Pacific Economic Cooperation,2002,461174.19
Asia-Pacific Economic Cooperation,2002,159007.2
Asia-Pacific Economic Cooperation,2002,61870.7
Asia-Pacific Economic Cooperation,2002,202401.8
Asia-Pacific Economic Cooperation,2002,154879.2
Asia-Pacific Economic Cooperation,2002,423187.91
Asia-Pacific Economic Cooperation,2002,144439.7
Asia-Pacific Economic Cooperation,2002,136620.7
Asia-Pacific Economic Cooperation,2002,192346
Asia-Pacific Economic Cooperation,2002,1077486.25
Asia-Pacific Economic Cooperation,2002,479624
Asia-Pacific Economic Cooperation,2003,490028.69
Asia-Pacific Economic Cooperation,2003,158263.3
Asia-Pacific Economic Cooperation,2003,66039.6
Asia-Pacific Economic Cooperation,2003,206855.91
Asia-Pacific Economic Cooperation,2003,190191.41
Asia-Pacific Economic Cooperation,2003,448827.81
Asia-Pacific Economic Cooperation,2003,154131.09
Asia-Pacific Economic Cooperation,2003,153415.09
Asia-Pacific Economic Cooperation,2003,211644.8
Asia-Pacific Economic Cooperation,2003,1176090.75
Asia-Pacific Economic Cooperation,2003,505938.5
Asia-Pacific Economic Cooperation,2004,527059.38
Asia-Pacific Economic Cooperation,2004,173954.91
Asia-Pacific Economic Cooperation,2004,76854.2
Asia-Pacific Economic Cooperation,2004,219023.59
Asia-Pacific Economic Cooperation,2004,240010.41
Asia-Pacific Economic Cooperation,2004,498088.09
Asia-Pacific Economic Cooperation,2004,168517.5
Asia-Pacific Economic Cooperation,2004,169908.09
Asia-Pacific Economic Cooperation,2004,274890.59
Asia-Pacific Economic Cooperation,2004,1293444.75
Asia-Pacific Economic Cooperation,2004,533906.69
Asia-Pacific Economic Cooperation,2005,554906
Asia-Pacific Economic Cooperation,2005,186270.3
Asia-Pacific Economic Cooperation,2005,82813.4
Asia-Pacific Economic Cooperation,2005,227711.2
Asia-Pacific Economic Cooperation,2005,300476.19
Asia-Pacific Economic Cooperation,2005,517244.69
Asia-Pacific Economic Cooperation,2005,179122.2
Asia-Pacific Economic Cooperation,2005,182219
Asia-Pacific Economic Cooperation,2005,310513.5
Asia-Pacific Economic Cooperation,2005,1392671.25
Asia-Pacific Economic Cooperation,2005,569925.69
Asia-Pacific Economic Cooperation,2006,599580.81
Asia-Pacific Economic Cooperation,2006,203546
Asia-Pacific Economic Cooperation,2006,83336.1
Asia-Pacific Economic Cooperation,2006,237402.3
Asia-Pacific Economic Cooperation,2006,333960.81
Asia-Pacific Economic Cooperation,2006,573903.12
Asia-Pacific Economic Cooperation,2006,188779.41
Asia-Pacific Economic Cooperation,2006,199082.8
Asia-Pacific Economic Cooperation,2006,358860.69
Asia-Pacific Economic Cooperation,2006,1505056.5
Asia-Pacific Economic Cooperation,2006,598373.12
Asia-Pacific Economic Cooperation,2007,644279.81
Asia-Pacific Economic Cooperation,2007,226703.09
Asia-Pacific Economic Cooperation,2007,88168.1
Asia-Pacific Economic Cooperation,2007,243579.91
Asia-Pacific Economic Cooperation,2007,384005.41
Asia-Pacific Economic Cooperation,2007,635716.81
