id,label,unit,definition,definitionSource,ACLTag
All_Demand,Demand for all resources,Mt,All resource demand.,,
assumptions_dict, Assumptions dict,,"Assumptions made in the model",,
CCS_price,Price of CCS,$/tCO2,Price of CCS.,,
CO2_damage_price,CO2 damage price,$/tCO2,Cost of CO2 damage on environment.,,
CO2_emissions_detail_df,Emissions detailed,,Detailed data of carbon emissions outputs.,,
CO2_emissions_df,CO2 Emissions,GtCO2,Emissions Data.,,
CO2_emitted_forest_df,Forestry CO2 emissions,GtCO2,CO2 emitted due to forest activities.,,
CO2_land_emissions,CO2 land emissions,GtCO2,CO2 emitted by lands.,,
CO2_land_emission_df,CO2 land emissions,GtCO2,CO2 emitted by lands.,,
CO2_objective,CO2 objective,,"Value of the CO2 objective. Smaller the value is, better the objective is accomplished.",,
CO2_per_ha,CO2 per ha,kgCO2/ha/year,Average quantity of CO2 absorbed by 1 hectare of forest during 1 year.,,
CO2_tax_efficiency,CO2 tax efficiency,%,Permits to modulate taxes taken into account.,,
CO2_taxes,CO2 Taxes,$/tCO2,Applied taxes due to CO2 emitted by factories.,,
End_of_reserves,End of reserves,[year],Estimated year when reserves are empty.,,
Historical_prices,Historical prices,[USD/barrel],Historical price data.,,
Historical_stats,Historical stats,[billion.barrel],Historical data of barrel quantity.,,
Predicted_prices,Predicted prices,[USD/barrel],Predicted price of barrel.,,
Price_baseline_regression,Price baseline regression,"[year, USD/barrel]",Prices after regression.,,
Price_baseline_regression_predictions,Price baseline regression predictions,"[year, USD/barrel]",Price prediction with regression.,,
Price_change,Price change,[USD/barrel/year],Chnaging price of barrel.,,
Price_correction_funtion_training_data,Price correction funtion training data,"[billion.barrel/year,USD/barrel/year]",Adjustment of prices.,,
Production_change,Production change,[billion.barrel/year],Evolution of the quantity of barrel produced.,,
Production_proportions_2019,Production proportions 2019,[billion.barrel],Break down of 2019 production.,,
Reserves_prediction,Reserves prediction,[billion.barrel],Prediction of the quantity of barrel in reserve.,,
Supply_Shortage,Supply Shortage,[year],Year when supply shortage occurs.,,
Truncated_historical_prices,Truncated historical prices,[USD/barrel],Truncated historical prices.,,
agriculture_productivity_evolution,Agriculture productivity evolution,,Agriculture productivity evolution depending on temperature.,,
all_resource_demand,Demand for all resources,-,Demand for all the resources considered.,,
all_resource_price,Price for all resources,$/t,Price of different resources.,,
all_resource_production,Predictable production per resource,Mt,Quantity of resources produced.,,
all_resource_ratio_usable_demand,Ratio resource available on demand (per year),,Ratio of usable resource VS demand.,,
all_resource_stock,Maximum already extracted stock ,Mt,All resource stock.,,
all_resource_use,Available resource ,Mt,Quantity of available resources.,,
alpha,Alpha,-,Weight of utility objective in optimisation objective function. The weight of climate part is 1- alpha.,,
alpha_birthrate_know,Alpha birthrate know,,Birth rate parameter obtain by values fitting and calibration.,,
b_twelve,Carbon cycle transition matrix parameter,[-],Parameter of carbon cycle transition matrix.,,ABATAA - mass
b_twentythree,Carbon cycle transition matrix parameter,[-],Parameter of carbon cycle transition matrix.,,ABATAA - mass
beta,Beta,-,Weight of CO2 Emissions in climate objective in the objective function of the optimisation problem. The weight of the Temperature is 1 - beta. ,,
beta_birthrate_know,Beta birthrate know,,Birth rate parameter obtain by values fitting and calibration.,,
biodiesel_Transesterification_array_mix,Biodiesel Transesterification mix data,%,Mix data concerning transesterification.,,
biogas_AnaerobicDigestion_array_mix,Biogas Anaerobic Digestion mix data,%,Mix data concerning  Anaerobic Digestion.,,
biomass_dry_CropEnergy_array_mix,Biomass dry CropEnergy mix data,%,Mix data concerning Crop Energy.,,
biomass_dry_ManagedWood_array_mix,Biomass dry ManagedWood mix data,%,Mix data concerning Managed wood.,,
biomass_dry_UnmanagedWood_array_mix,Biomass dry UnmanagedWood array mix,%,Mix data concerning unmanaged wood.,,
